Serial Number,English Word,Part of Speech,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
329,Dormant,Adjective,செயலற்ற,सुप्त (Supt),The volcano is currently dormant.,எரிமலை தற்போது செயலற்றதாக உள்ளது.,ज्वालामुखी वर्तमान में सुप्त है।,"Inactive, Sleeping",உறக்க நிலையில் உள்ள
330,Exigency,Noun,அவசரத் தேவை,आपातकालीन आवश्यकता (Aapaatkaaleen Aavashyakta),The exigencies of war required swift action.,போரின் அவசரத் தேவைக்கு விரைவான நடவடிக்கை தேவைப்பட்டது.,युद्ध की आपातकालीन आवश्यकता ने त्वरित कार्रवाई की मांग की।,"Emergency, Urgency",அவசர தேவை
331,Fastidious,Adjective,அதிக கவனம் செலுத்தும் / நுணுக்கமான,नकचढ़ा (Nakchadhha),He was fastidious about cleanliness.,அவர் சுத்தத்தைப் பற்றி அதிக கவனம் செலுத்துபவராக இருந்தார்.,वह सफ़ाई के बारे में नकचढ़ा था।,"Scrupulous, Fussy",நுணுக்கமான / திருப்திப்படுத்த கடினமான
332,Gourmand,Noun,பெருந்தீனி பிரியர்,पेटू (Petu),He was a notorious gourmand who loved rich food.,அவர் சத்தான உணவை விரும்பும் ஒரு பிரபல பெருந்தீனி பிரியர்.,वह एक कुख्यात पेटू था जिसे समृद्ध भोजन पसंद था।,"Glutton, Food-lover",சாப்பாட்டுப் பிரியர்
333,Ignominious,Adjective,அவமானகரமான,शर्मनाक (Sharmnaak),The team suffered an ignominious defeat.,அணி ஒரு அவமானகரமான தோல்வியை சந்தித்தது.,टीम को एक शर्मनाक हार का सामना करना पड़ा।,"Humiliating, Shaming",அவமானகரமான
334,Inculcate,Verb,பதிய வை,मन में बिठाना (Man Mein Bithana),Parents try to inculcate values in their children.,பெற்றோர் தங்கள் குழந்தைகளிடம் மதிப்புகளைப் பதிய வைக்க முயற்சி செய்கிறார்கள்.,माता-पिता अपने बच्चों में मूल्यों को मन में बिठाने की कोशिश करते हैं।,"Instill, Teach, Implant",மனதிற் பதியவைத்தல்
335,Juxtaposition,Noun,அருகருகே வைத்தல்,पास-पास रखना (Paas-Paas Rakhna),The juxtaposition of old and new buildings was striking.,பழைய மற்றும் புதிய கட்டிடங்களை அருகருகே வைத்தது கண்கவர்வதாக இருந்தது.,पुरानी और नई इमारतों का पास-पास रखना आकर्षक था।,"Comparison, Proximity",அருகருகே வைத்தல்
336,Lethargy,Noun,சோம்பல்,सुस्ती (Susti),A feeling of lethargy overcame him.,ஒரு சோம்பல் உணர்வு அவரை ஆட்கொண்டது.,एक सुस्ती की भावना ने उसे घेर लिया।,"Sluggishness, Inactivity",மந்தநிலை / சோர்வு
337,Malinger,Noun,பாசாங்கு செய்பவர்,बहानेबाज (Bahaanebaaz),He was known as a workplace malinger.,அவர் ஒரு பணியிட பாசாங்கு செய்பவராக அறியப்பட்டார்.,वह कार्यस्थल पर एक बहानेबाज के रूप में जाने जाते थे।,"Shirk, Sham",பொய்க் காரணம் சொல்லி தவிர்
338,Nihilism,Noun,சூனியவாதம்,शून्यवाद (Shunyavaad),His philosophy was rooted in nihilism.,அவரது தத்துவம் சூனியவாதத்தில் வேரூன்றியது.,उनका दर्शन शून्यवाद में निहित था।,"Skepticism, Negativism",சூனியவாதம்
339,Obeisance,Noun,மரியாதை செலுத்தும் பணிவு,सम्मान (Sammaan),The students made an obeisance to the teacher.,மாணவர்கள் ஆசிரியருக்கு மரியாதை செலுத்தினர்.,छात्रों ने शिक्षक को सम्मान दिया।,"Respect, Homage",பணிவு / வணக்கம்
340,Perfunctory,Adjective,கடமைக்காக செய்யும்,सतही (Satahi),He gave a perfunctory nod.,அவர் ஒரு கடமைக்காக செய்யும் தலையசைப்பை கொடுத்தார்.,उन्होंने एक सतही सिर हिलाया।,"Cursory, Careless",கடமைக்காகச் செய்யும்
341,Quell,Verb,ஒடுக்கு,शांत करना (Shaant Karna),The police managed to quell the disturbance.,காவல்துறை குழப்பத்தை ஒடுக்க முடிந்தது.,पुलिस गड़बड़ी को शांत करने में कामयाब रही।,"Suppress, Subdue",அடக்குதல்
342,Redress,Verb,நிவர்த்தி செய்,क्षतिपूर्ति करना (Kshatipurti Karna),The company promised to redress the customer's complaint.,வாடிக்கையாளரின் புகாரை நிவர்த்தி செய்ய நிறுவனம் உறுதியளித்தது.,कंपनी ने ग्राहक की शिकायत की क्षतिपूर्ति करने का वादा किया।,"Remedy, Correct",நிவர்த்தி செய்தல்
343,Soporific,Adjective,தூக்கத்தை வரவழைக்கும்,नींद लानेवाला (Neend Laanevaala),The warm milk had a soporific effect.,சூடான பால் ஒரு தூக்கத்தை வரவழைக்கும் விளைவைக் கொண்டிருந்தது.,गर्म दूध का नींद लानेवाला प्रभाव था।,"Sleep-inducing, Somnolent",தூக்கத்தை வரவழைக்கும்
344,Transmute,Verb,மாற்று,रूपांतरित करना (Rupaantarit Karna),They aim to transmute waste into energy.,அவர்கள் கழிவுகளை ஆற்றலாக மாற்ற இலக்கு வைத்துள்ளனர்.,उनका लक्ष्य कचरे को ऊर्जा में रूपांतरित करना है।,"Change, Alter, Transform",உருமாற்றுதல்
345,Unseemly,Adjective,பொருத்தமற்ற,अनुचित (Anuchit),His outburst was highly unseemly.,அவரது ஆத்திரம் மிகவும் பொருத்தமற்றதாக இருந்தது.,उनका गुस्सा अत्यधिक अनुचित था।,"Improper, Inappropriate",தகாத / முறையற்ற
346,Vacillate,Verb,மாறிக் கொண்டே இரு,हिचकिचाना (Hichakichaana),He tends to vacillate on important issues.,அவர் முக்கியமான பிரச்சினைகளில் மாறிக் கொண்டே இருக்க முனைகிறார்.,वह महत्वपूर्ण मुद्दों पर हिचकिचाना करते हैं।,"Waver, Dither",ஊசலாடுதல்
347,Wistful,Adjective,ஏக்கத்துடன் கூடிய,उदासी से भरा (Udaasi Se Bhara),The song brought a wistful tear to her eye.,அந்தப் பாடல் அவளுக்கு ஏக்கத்துடன் கூடிய கண்ணீரை வரவழைத்தது.,गाने ने उसकी आँख में उदासी से भरा आँसू ला दिया।,"Longing, Yearning",ஏக்கமான
348,Xenial,Noun,விருந்தோம்பல்,आतिथ्य (Aatithya),The region is known for its xenial.,இந்த பிராந்தியம் அதன் விருந்தோம்பலுக்கு பெயர் பெற்றது.,यह क्षेत्र अपने आतिथ्य के लिए जाना जाता है।,"Hospitable, Kind",உபசரிக்கும் குணமுள்ள
349,Yearn,Verb,ஏங்கு,लालसा करना (Laalasaa Karna),She began to yearn for adventure.,அவள் சாகசத்திற்காக ஏங்க ஆரம்பித்தாள்.,उसने रोमांच के लिए लालसा करना शुरू कर दिया।,"Long, Desire",ஏங்குதல்
350,Zenith,Noun,உச்சம்,शीर्ष (Sheersh),The company reached its zenith last year.,நிறுவனம் கடந்த ஆண்டு அதன் உச்சத்தை அடைந்தது.,कंपनी पिछले साल अपने शीर्ष पर पहुंची।,"Pinnacle, Summit",உச்சநிலை
351,Abundance,Noun,மிகுதி,प्रचुरता (Prachurata),There was an abundance of fresh fruit.,புதிய பழங்கள் மிகுதியாக இருந்தன.,ताजे फल की प्रचुरता थी।,"Plenty, Profusion",மிகுதி / தாராளம்
352,Advantage,Noun,அனுகூலம்,लाभ (Laabh),His height gave him an advantage.,அவரது உயரம் அவருக்கு அனுகூலத்தை அளித்தது.,उनकी ऊँचाई ने उन्हें लाभ दिया।,"Benefit, Gain",நன்மை / சாதகம்
353,Agreement,Noun,ஒப்பந்தம்,समझौता (Samjhauta),They signed the final agreement.,அவர்கள் இறுதி ஒப்பந்தத்தில் கையெழுத்திட்டனர்.,उन्होंने अंतिम समझौते पर हस्ताक्षर किए।,"Accord, Harmony",ஒப்பந்தம் / உடன்பாடு
354,Argument,Noun,சர்ச்சை,बहस (Bahs),We had a small argument about the plan.,திட்டத்தைப் பற்றி எங்களுக்கு ஒரு சிறிய சர்ச்சை இருந்தது.,योजना को लेकर हमारी थोड़ी बहस हुई।,"Dispute, Debate",விவாதம் / தர்க்கம்
355,Authority,Noun,அதிகாரம்,अधिकार (Adhikaar),She has the authority to make the decision.,முடிவெடுக்கும் அதிகாரம் அவளுக்கு உள்ளது.,उसे निर्णय लेने का अधिकार है।,"Power, Command",அதிகாரம்
356,Boundary,Noun,எல்லை,सीमा (Seema),We marked the boundary of the property.,நாங்கள் சொத்தின் எல்லையைக் குறித்தோம்.,हमने संपत्ति की सीमा को चिह्नित किया।,"Border, Limit",எல்லை
357,Category,Noun,வகை,श्रेणी (Shreni),Sort the books into their proper category.,புத்தகங்களை அவற்றின் சரியான வகையாகப் பிரிக்கவும்.,किताबों को उनकी उचित श्रेणी में छाँटें।,"Class, Group",வகை
358,Challenge,Noun,சவால்,चुनौती (Chunauti),The climb was a major challenge.,இந்த ஏற்றம் ஒரு பெரிய சவாலாக இருந்தது.,चढ़ाई एक बड़ी चुनौती थी।,"Dare, Test",சவால்
359,Citizen,Noun,குடிமகன்,नागरिक (Naagrik),Every citizen has the right to vote.,ஒவ்வொரு குடிமகனுக்கும் வாக்களிக்கும் உரிமை உண்டு.,प्रत्येक नागरिक को वोट देने का अधिकार है।,"Subject, Resident",குடிமகன்
360,Concept,Noun,கருத்து,अवधारणा (Avdhaarana),It is a difficult concept to grasp.,இது புரிந்துகொள்ள கடினமான ஒரு கருத்து.,यह समझना एक कठिन अवधारणा है।,"Idea, Notion",கருத்து
361,Confidence,Noun,நம்பிக்கை,आत्मविश्वास (Aatmavishvaas),He spoke with great confidence.,அவர் மிகுந்த நம்பிக்கையுடன் பேசினார்.,उन्होंने बड़े आत्मविश्वास के साथ बात की।,"Trust, Self-assurance",நம்பிக்கை / தன்னம்பிக்கை
362,Consequence,Noun,விளைவு,परिणाम (Parinaam),Every action has a consequence.,ஒவ்வொரு செயலுக்கும் ஒரு விளைவு உண்டு.,हर क्रिया का एक परिणाम होता है।,"Result, Outcome",விளைவு
363,Cruelty,Noun,கொடுமை,क्रूरता (Kroorta),The film depicted the cruelty of war.,அந்த திரைப்படம் போரின் கொடுமையை சித்தரித்தது.,फिल्म में युद्ध की क्रूरता को दर्शाया गया है।,"Brutality, Harshness",கொடுமை
364,Culture,Noun,கலாச்சாரம்,संस्कृति (Sanskriti),We studied different world cultures.,நாங்கள் வெவ்வேறு உலக கலாச்சாரங்களைப் படித்தோம்.,हमने विभिन्न विश्व संस्कृतियों का अध्ययन किया।,"Tradition, Customs",கலாச்சாரம் / பண்பாடு
365,Decision,Noun,முடிவு,निर्णय (Nirnay),It was a difficult decision to make.,இது எடுக்க வேண்டிய ஒரு கடினமான முடிவு.,यह लेना एक कठिन निर्णय था।,"Resolution, Choice",முடிவு / தீர்மானம்
366,Deficiency,Noun,குறைபாடு,कमी (Kami),He suffered from a vitamin deficiency.,அவர் வைட்டமின் குறைபாட்டால் பாதிக்கப்பட்டார்.,वह विटामिन कमी से पीड़ित था।,"Lack, Shortage",குறைபாடு
367,Democracy,Noun,ஜனநாயகம்,लोकतंत्र (Loktantra),Democracy ensures equal rights.,ஜனநாயகம் சம உரிமைகளை உறுதி செய்கிறது.,लोकतंत्र समान अधिकार सुनिश्चित करता है।,Self-government,ஜனநாயகம்
368,Development,Noun,வளர்ச்சி,विकास (Vikaas),The new project aided economic development.,புதிய திட்டம் பொருளாதார வளர்ச்சிக்கு உதவியது.,नई परियोजना ने आर्थिक विकास में सहायता की।,"Growth, Progress",வளர்ச்சி
369,Difficulty,Noun,சிரமம்,कठिनाई (Kathinai),We faced unexpected difficulty.,நாங்கள் எதிர்பாராத சிரமத்தை எதிர்கொண்டோம்.,हमें अप्रत्याशित कठिनाई का सामना करना पड़ा।,"Problem, Hardship",சிரமம் / கடினம்
370,Distinction,Noun,வேறுபாடு,अंतर (Antar),There is a clear distinction between the two.,இரண்டுக்கும் இடையே ஒரு தெளிவான வேறுபாடு உள்ளது.,दोनों के बीच एक स्पष्ट अंतर है।,"Difference, Contrast",வேறுபாடு / சிறப்பு
371,Duty,Noun,கடமை,कर्तव्य (Kartavya),It is your duty to report the issue.,சிக்கலைத் தெரிவிப்பது உங்கள் கடமை.,समस्या की रिपोर्ट करना आपका कर्तव्य है।,"Responsibility, Obligation",கடமை
372,Emotion,Noun,உணர்ச்சி,भावना (Bhaavana),Joy is a powerful emotion.,மகிழ்ச்சி ஒரு சக்திவாய்ந்த உணர்ச்சி.,खुशी एक शक्तिशाली भावना है।,"Feeling, Passion",உணர்ச்சி
373,Equality,Noun,சமத்துவம்,समानता (Samaanata),We strive for equality among all.,நாங்கள் அனைவரிடையேயும் சமத்துவத்திற்காக பாடுபடுகிறோம்.,हम सभी के बीच समानता के लिए प्रयास करते हैं।,"Fairness, Parity",சமத்துவம்
374,Evidence,Noun,ஆதாரம்,सबूत (Saboot),The police collected evidence at the scene.,போலீசார் சம்பவ இடத்தில் ஆதாரங்களைச் சேகரித்தனர்.,पुलिस ने घटनास्थल पर सबूत एकत्र किए।,"Proof, Confirmation",ஆதாரம் / சாட்சி
375,Expansion,Noun,விரிவாக்கம்,विस्तार (Vistaar),The company plans a global expansion.,நிறுவனம் உலகளாவிய விரிவாக்கத்தை திட்டமிட்டுள்ளது.,कंपनी एक वैश्विक विस्तार की योजना बना रही है।,"Growth, Enlargement",விரிவாக்கம்
376,Experiment,Noun,சோதனை,प्रयोग (Prayog),The scientists conducted a successful experiment.,விஞ்ஞானிகள் ஒரு வெற்றிகரமான சோதனையை நடத்தினர்.,वैज्ञानिकों ने एक सफल प्रयोग किया।,"Test, Trial",சோதனை
377,Failure,Noun,தோல்வி,विफलता (Viphalta),He learned a lot from his failure.,அவர் தனது தோல்வியிலிருந்து நிறைய கற்றுக்கொண்டார்.,उन्होंने अपनी विफलता से बहुत कुछ सीखा।,"Defeat, Collapse",தோல்வி
378,Feature,Noun,அம்சம்,विशेषता (Visheshta),The house has many unique features.,அந்த வீட்டில் பல தனித்துவமான அம்சங்கள் உள்ளன.,घर में कई अनूठी विशेषताएँ हैं।,"Trait, Characteristic",அம்சம் / சிறப்பு
379,Freedom,Noun,சுதந்திரம்,आज़ादी (Aazaadi),We cherish our freedom.,நாங்கள் எங்கள் சுதந்திரத்தைப் போற்றுகிறோம்.,हम अपनी आज़ादी को संजोते हैं।,"Liberty, Independence",சுதந்திரம்
380,Frustration,Noun,விரக்தி,निराशा (Niraasha),Frustration built up due to delays.,தாமதங்கள் காரணமாக விரக்தி அதிகரித்தது.,देरी के कारण निराशा बढ़ गई।,"Annoyance, Exasperation",விரக்தி
381,Generosity,Noun,பெருந்தன்மை,उदारता (Udaarata),Her generosity was well known.,அவரது பெருந்தன்மை நன்கு அறியப்பட்டது.,उनकी उदारता अच्छी तरह से ज्ञात थी।,"Kindness, Munificence",தாராள குணம்
382,Glory,Noun,மகிமை,महिमा (Mahimaa),He sought fame and glory.,அவர் புகழ் மற்றும் மகிமையை நாடினார்.,उन्होंने प्रसिद्धि और महिमा की तलाश की।,"Fame, Honor",மகிமை / புகழ்
383,Growth,Noun,வளர்ச்சி,वृद्धि (Vriddhi),We are tracking the population growth.,நாங்கள் மக்கள்தொகை வளர்ச்சியைக் கண்காணிக்கிறோம்.,हम जनसंख्या वृद्धि पर नज़र रख रहे हैं।,"Expansion, Increase",வளர்ச்சி
384,Guidance,Noun,வழிகாட்டுதல்,मार्गदर्शन (Maargadarshan),We sought expert guidance.,நாங்கள் நிபுணர் வழிகாட்டுதலை நாடினோம்.,हमने विशेषज्ञ मार्गदर्शन मांगा।,"Direction, Advice",வழிகாட்டுதல்
385,Habit,Noun,பழக்கம்,आदत (Aadat),Reading is a good habit.,வாசிப்பு ஒரு நல்ல பழக்கம்.,पढ़ना एक अच्छी आदत है।,"Practice, Custom",பழக்கம்
386,Harmony,Noun,நல்லிணக்கம்,सद्भाव (Sadbhaav),They lived together in harmony.,அவர்கள் நல்லிணக்கத்துடன் ஒன்றாக வாழ்ந்தார்கள்.,वे सद्भाव में एक साथ रहते थे।,"Accord, Peace",நல்லிணக்கம்
387,Hypothesis,Noun,கருதுகோள்,परिकल्पना (Parikalpana),We tested the main hypothesis.,நாங்கள் முக்கிய கருதுகோளைச் சோதித்தோம்.,हमने मुख्य परिकल्पना का परीक्षण किया।,"Theory, Postulate",கருதுகோள்
388,Identity,Noun,அடையாளம்,पहचान (Pahchaan),She struggled to find her own identity.,அவள் தன் சொந்த அடையாளத்தைக் கண்டுபிடிக்கப் போராடினாள்.,उसने अपनी खुद की पहचान खोजने के लिए संघर्ष किया।,"Character, Personality",அடையாளம்
389,Ignorance,Noun,அறியாமை,अज्ञान (Agyaan),Ignorance can be dangerous.,அறியாமை ஆபத்தானது.,अज्ञान खतरनाक हो सकता है।,"Illiteracy, Unawareness",அறியாமை
390,Impact,Noun,தாக்கம்,प्रभाव (Prabhaav),The news had a huge impact.,இந்தச் செய்தி பெரும் தாக்கத்தை ஏற்படுத்தியது.,खबर का बहुत बड़ा प्रभाव पड़ा।,"Influence, Effect",பாதிப்பு / தாக்கம்
391,Improvement,Noun,முன்னேற்றம்,सुधार (Sudhaar),We saw significant improvement.,நாங்கள் குறிப்பிடத்தக்க முன்னேற்றத்தைக் கண்டோம்.,हमने महत्वपूर्ण सुधार देखा।,"Advancement, Betterment",முன்னேற்றம் / மேம்பாடு
392,Incentive,Noun,ஊக்கத்தொகை,प्रोत्साहन (Protsaahan),The bonus served as a great incentive.,போனஸ் ஒரு சிறந்த ஊக்கத்தொகையாக இருந்தது.,बोनस एक महान प्रोत्साहन के रूप में कार्य करता था।,"Inducement, Motivation",ஊக்கத்தொகை / தூண்டுதல்
393,Influence,Noun,செல்வாக்கு,प्रभाव (Prabhaav),He used his influence to help others.,அவர் மற்றவர்களுக்கு உதவ தனது செல்வாக்கைப் பயன்படுத்தினார்.,उन्होंने दूसरों की मदद के लिए अपना प्रभाव इस्तेमाल किया।,"Impact, Power",செல்வாக்கு
394,Injustice,Noun,அநீதி,अन्याय (Annyaay),They protested against the injustice.,அவர்கள் அநீதிக்கு எதிராக போராடினர்.,उन्होंने अन्याय के खिलाफ विरोध किया।,"Unfairness, Wrong",அநீதி
395,Integrity,Noun,ஒருமைப்பாடு,ईमानदारी (Imaandaari),He is known for his integrity.,அவர் தனது ஒருமைப்பாட்டிற்காக அறியப்பட்டவர்.,वह अपनी ईमानदारी के लिए जाने जाते हैं।,"Honesty, Rectitude",நேர்மை
396,Intention,Noun,நோக்கம்,इरादा (Iraada),His intention was clearly good.,அவரது நோக்கம் தெளிவாக நல்லது.,उनका इरादा स्पष्ट रूप से अच्छा था।,"Purpose, Aim",நோக்கம்
397,Justice,Noun,நீதி,न्याय (Nyaay),We must uphold justice.,நாம் நீதியைப் பேண வேண்டும்.,हमें न्याय को बनाए रखना चाहिए।,"Fairness, Equity",நீதி
398,Knowledge,Noun,அறிவு,ज्ञान (Gyaan),The book contains deep knowledge.,இந்த புத்தகத்தில் ஆழ்ந்த அறிவு உள்ளது.,इस पुस्तक में गहरा ज्ञान है।,"Understanding, Wisdom",அறிவு
399,Leadership,Noun,தலைமைத்துவம்,नेतृत्व (Netritva),She showed excellent leadership skills.,அவர் சிறந்த தலைமைத்துவ திறன்களைக் காட்டினார்.,उन्होंने उत्कृष्ट नेतृत्व कौशल दिखाया।,"Guidance, Control",தலைமை
400,Leisure,Noun,ஓய்வு,फुर्सत (Phursat),We spent our leisure time reading.,நாங்கள் எங்கள் ஓய்வு நேரத்தை வாசிப்பதில் செலவிட்டோம்.,हमने अपना फुर्सत का समय पढ़ने में बिताया।,"Free time, Relaxation",ஓய்வு
401,Liberty,Noun,சுதந்திரம்,स्वतंत्रता (Svatantrata),The statue represents liberty.,இந்த சிலை சுதந்திரத்தைக் குறிக்கிறது.,यह मूर्ति स्वतंत्रता का प्रतिनिधित्व करती है।,"Freedom, Independence",சுதந்திரம்
402,Loyalty,Noun,விசுவாசம்,वफादारी (Vafaadaari),The dog showed great loyalty.,நாய் பெரும் விசுவாசத்தைக் காட்டியது.,कुत्ते ने महान वफादारी दिखाई।,"Allegiance, Faithfulness",விசுவாசம்
403,Majority,Noun,பெரும்பான்மை,बहुमत (Bahumat),The majority voted in favour.,பெரும்பான்மை ஆதரவாக வாக்களித்தது.,बहुमत ने पक्ष में मतदान किया।,"Plurality, Bulk",பெரும்பான்மை
404,Manner,Noun,விதம்,तरीका (Tareeka),Speak to others in a polite manner.,மற்றவர்களிடம் மரியாதையான விதத்தில் பேசுங்கள்.,दूसरों से विनम्र तरीके से बात करें।,"Way, Fashion",விதம் / முறை
405,Meaning,Noun,பொருள்,अर्थ (Arth),What is the meaning of this word?,இந்த வார்த்தையின் பொருள் என்ன?,इस शब्द का अर्थ क्या है?,"Significance, Sense",பொருள் / அர்த்தம்
406,Memory,Noun,நினைவு,याददाश्त (Yaaddaasht),She has a sharp memory.,அவளுக்கு ஒரு கூர்மையான நினைவு உள்ளது.,उसकी याददाश्त तेज है।,"Recall, Remembrance",நினைவாற்றல்
407,Method,Noun,முறை,विधि (Vidhi),We need a new method of testing.,நமக்கு ஒரு புதிய சோதனை முறை தேவை.,हमें परीक्षण की एक नई विधि की आवश्यकता है।,"Technique, Procedure",முறை / வழிமுறை
408,Minority,Noun,சிறுபான்மை,अल्पसंख्यक (Alpasankhyak),The rights of the minority are protected.,சிறுபான்மையினரின் உரிமைகள் பாதுகாக்கப்படுகின்றன.,अल्पसंख्यक के अधिकार संरक्षित हैं।,Smaller part,சிறுபான்மை
409,Momentum,Noun,உந்தம்,गति (Gati),The project lost its momentum.,திட்டம் அதன் உந்தத்தை இழந்தது.,परियोजना ने अपनी गति खो दी।,"Energy, Force",வேகம் / உந்தம்
410,Motivation,Noun,உந்துதல்,प्रेरणा (Prerana),His success is a strong motivation.,அவரது வெற்றி ஒரு வலுவான உந்துதல்.,उनकी सफलता एक मजबूत प्रेरणा है।,"Enthusiasm, Drive",உந்துதல்
411,Necessity,Noun,தேவை,आवश्यकता (Aavashyakta),Food is a basic necessity.,உணவு ஒரு அடிப்படை தேவை.,भोजन एक बुनियादी आवश्यकता है।,"Essential, Requirement",அவசியம்
412,Objective,Noun,நோக்கம்,उद्देश्य (Uddeshya),Our main objective is customer satisfaction.,எங்கள் முக்கிய நோக்கம் வாடிக்கையாளர் திருப்தி.,हमारा मुख्य उद्देश्य ग्राहक संतुष्टि है।,"Goal, Aim",குறிக்கோள்
413,Opinion,Noun,கருத்து,राय (Raay),Everyone has a right to their own opinion.,அனைவருக்கும் அவரவர் கருத்துக்கு உரிமை உண்டு.,हर किसी को अपनी राय का अधिकार है।,"View, Belief",கருத்து / அபிப்பிராயம்
414,Opportunity,Noun,வாய்ப்பு,अवसर (Avasar),Don't miss this great opportunity.,இந்த சிறந்த வாய்ப்பைத் தவறவிடாதீர்கள்.,इस महान अवसर को मत छोड़ो।,"Chance, Opening",வாய்ப்பு
415,Patience,Noun,பொறுமை,धैर्य (Dhairya),You need patience to learn this skill.,இந்தக் திறனைக் கற்க உங்களுக்கு பொறுமை தேவை.,इस कौशल को सीखने के लिए आपको धैर्य की आवश्यकता है।,"Tolerance, Endurance",பொறுமை
416,Perception,Noun,கருத்து / உணர்தல்,धारणा (Dhaarana),Public perception of the brand improved.,பிராண்ட் பற்றிய பொது கருத்து மேம்படுத்தப்பட்டது.,ब्रांड की सार्वजनिक धारणा में सुधार हुआ।,"Insight, Awareness",உணர்தல் / பார்வை
417,Performance,Noun,செயல்பாடு,प्रदर्शन (Pradarshan),The team's performance was excellent.,அணியின் செயல்பாடு சிறப்பாக இருந்தது.,टीम का प्रदर्शन उत्कृष्ट था।,"Execution, Show",செயல்பாடு
418,Perspective,Noun,பார்வை,दृष्टिकोण (Drishtikon),Try to see it from my perspective.,என் பார்வையிலிருந்து பார்க்க முயற்சி செய்யுங்கள்.,इसे मेरे दृष्टिकोण से देखने का प्रयास करें।,"Viewpoint, Outlook",கண்ணோட்டம்
419,Pledge,Noun,உறுதிமொழி,प्रतिज्ञा (Pratigya),He made a solemn pledge.,அவர் ஒரு புனிதமான உறுதிமொழி அளித்தார்.,उन्होंने एक गंभीर प्रतिज्ञा ली।,"Promise, Vow",உறுதிமொழி
420,Possibility,Noun,சாத்தியம்,संभावना (Sambhaavana),There is a high possibility of rain.,மழைக்கு அதிக சாத்தியம் உள்ளது.,बारिश की अधिक संभावना है।,"Potential, Chance",சாத்தியம்
421,Prejudice,Noun,பாரபட்சம்,पूर्वाग्रह (Poorvaagraha),We must fight prejudice.,நாம் பாரபட்சத்தை எதிர்த்துப் போராட வேண்டும்.,हमें पूर्वाग्रह से लड़ना चाहिए।,"Bias, Preconception",பாரபட்சம்
422,Pressure,Noun,அழுத்தம்,दबाव (Dabaav),He works well under pressure.,அவர் அழுத்தத்தின் கீழ் நன்றாக வேலை செய்கிறார்.,वह दबाव में अच्छा काम करते हैं।,"Stress, Strain",அழுத்தம்
423,Principle,Noun,கொள்கை,सिद्धांत (Siddhaant),They stick to their moral principles.,அவர்கள் தங்கள் தார்மீக கொள்கைகளில் ஒட்டிக்கொள்கிறார்கள்.,वे अपने नैतिक सिद्धांतों पर कायम हैं।,"Rule, Tenet",கொள்கை
424,Priority,Noun,முன்னுரிமை,प्राथमिकता (Praathamikata),Safety is the top priority.,பாதுகாப்பு முதன்மையான முன்னுரிமை.,सुरक्षा सर्वोच्च प्राथमिकता है।,"Precedence, Importance",முன்னுரிமை
425,Procedure,Noun,செயல்முறை,प्रक्रिया (Prakriyaa),Follow the correct procedure.,சரியான செயல்முறையைப் பின்பற்றவும்.,सही प्रक्रिया का पालन करें।,"Process, Method",நடைமுறை
426,Progress,Noun,முன்னேற்றம்,प्रगति (Pragati),We made good progress today.,இன்று நாங்கள் நல்ல முன்னேற்றம் அடைந்தோம்.,हमने आज अच्छी प्रगति की।,"Advancement, Growth",முன்னேற்றம்
427,Quality,Noun,தரம்,गुणवत्ता (Gunavatta),The shop sells high quality goods.,கடை உயர் தரமான பொருட்களை விற்கிறது.,दुकान उच्च गुणवत्ता का सामान बेचती है।,"Standard, Excellence",தரம்
428,Quantity,Noun,அளவு,मात्रा (Maatra),We need a large quantity of materials.,எங்களுக்கு ஒரு பெரிய அளவு பொருட்கள் தேவை.,हमें बड़ी मात्रा में सामग्री की आवश्यकता है।,"Amount, Total",அளவு
429,Reality,Noun,யதார்த்தம்,वास्तविकता (Vaastavikta),We must face the harsh reality.,நாம் கடுமையான யதார்த்தத்தை எதிர்கொள்ள வேண்டும்.,हमें कठोर वास्तविकता का सामना करना चाहिए।,"Fact, Truth",உண்மை
430,Reason,Noun,காரணம்,कारण (Kaaran),What was the reason for the delay?,தாமதத்திற்கான காரணம் என்ன?,देरी का कारण क्या था?,"Cause, Justification",காரணம்
431,Reference,Noun,குறிப்பு,संदर्भ (Sandarbh),The book contains many helpful references.,புத்தகத்தில் பல பயனுள்ள குறிப்புகள் உள்ளன.,पुस्तक में कई सहायक संदर्भ हैं।,"Citation, Source",குறிப்பு / மேற்கோள்
432,Rejection,Noun,நிராகரிப்பு,अस्वीकृति (Asweekriti),He handled the rejection gracefully.,அவர் நிராகரிப்பை அழகாகக் கையாண்டார்.,उन्होंने अस्वीकृति को शालीनता से संभाला।,"Refusal, Denial",நிராகரிப்பு
433,Relation,Noun,உறவு,संबंध (Sambandh),They have a good working relation.,அவர்களுக்கு ஒரு நல்ல வேலை உறவு உள்ளது.,उनका एक अच्छा कामकाजी संबंध है।,"Connection, Link",உறவு / தொடர்பு
434,Requirement,Noun,தேவை,आवश्यकता (Aavashyakta),The main requirement is fluency in English.,முக்கிய தேவை ஆங்கிலத்தில் சரளமாக பேசுவது.,मुख्य आवश्यकता अंग्रेजी में प्रवाह है।,"Essential, Need",தேவை
