,English (V1/V2/V3),Tamil (Infinitive/Past/Perfect Participle),Hindi (Infinitive/Past/Perfect Participle)
299,Throw / Threw / Thrown,எறி (Eṟi) / எறிந்தேன் (Eṟindhēn) / எறிந்திருக்கிறேன் (Eṟindhirukkirēn),फेंकना (Phenknā) / फेंका (Phenkā) / फेंक चुका (Phenk Chukā)
300,Wear / Wore / Worn,அணி (Aṇi) / அணிந்தேன் (Aṇindhēn) / அணிந்திருக்கிறேன் (Aṇindhirukkirēn),पहनना (Pahannā) / पहना (Pahnā) / पहन चुका (Pahan Chukā)
301,Bid / Bid / Bid,விலை சொல் (Vilai Sol) / விலை சொன்னேன் (Vilai Sonnēn) / விலை சொல்லியிருக்கிறேன் (Vilai Solliyirukkirēn),बोली लगाना (Bolī Lagānā) / बोली लगाई (Bolī Lagāī) / बोली लगा चुका (Bolī Lagā Chukā)
302,Catch / Caught / Caught,பிடி (Piḍi) / பிடித்தேன் (Piḍittēn) / பிடித்திருக்கிறேன் (Piḍittirukkirēn),पकड़ना (Pakaṛnā) / पकड़ा (Pakaṛā) / पकड़ चुका (Pakaṛ Chukā)
303,Choose / Chose / Chosen,தேர்வு செய் (Tervu Sey) / தேர்வு செய்தேன் (Tervu Seydhēn) / தேர்வு செய்திருக்கிறேன் (Tervu Seydhirukkirēn),चुनना (Chunnā) / चुना (Chunā) / चुन चुका (Chun Chukā)
304,Come / Came / Come,வா (Vā) / வந்தேன் (Vandhēn) / வந்திருக்கிறேன் (Vandhirukkirēn),आना (Ānā) / आया (Āyā) / आ चुका (Ā Chukā)
305,Creep / Crept / Crept,ஊர்ந்து செல் (Ūrndhu Sel) / ஊர்ந்து சென்றேன் (Ūrndhu Senṟēn) / ஊர்ந்து சென்றிருக்கிறேன் (Ūrndhu Senṟirukkirēn),रेंगना (Reñgnā) / रेंगा (Reñgā) / रेंग चुका (Reñg Chukā)
306,Dream / Dreamed / Dreamed,கனவு காண் (Kaṉavu Kāṇ) / கனவு கண்டேன் (Kaṉavu Kaṇḍēn) / கனவு கண்டிருக்கிறேன் (Kaṉavu Kaṇḍirukkirēn),सपना देखना (Sapnā Dekhnā) / सपना देखा (Sapnā Dekhā) / सपना देख चुका (Sapnā Dekh Chukā)
307,Drink / Drank / Drunk,குடி (Kuḍi) / குடித்தேன் (Kuḍittēn) / குடித்திருக்கிறேன் (Kuḍittirukkirēn),पीना (Pīnā) / पीया (Pīyā) / पी चुका (Pī Chukā)
308,Eat / Ate / Eaten,சாப்பிடு (Sāppiḍu) / சாப்பிட்டேன் (Sāppiṭṭēn) / சாப்பிட்டிருக்கிறேன் (Sāppiṭṭirukkirēn),खाना (Khānā) / खाया (Khāyā) / खा चुका (Khā Chukā)
309,Fly / Flew / Flown,பற (Paṟa) / பறந்தேன் (Paṟandhēn) / பறந்திருக்கிறேன் (Paṟandhirukkirēn),उड़ना (Uṛnā) / उड़ा (Uṛā) / उड़ चुका (Uṛ Chukā)
310,Forget / Forgot / Forgotten,மற (Maṟa) / மறந்தேன் (Maṟandhēn) / மறந்திருக்கிறேன் (Maṟandhirukkirēn),भूलना (Bhūlnā) / भूला (Bhūlā) / भूल चुका (Bhūl Chukā)
311,Get / Got / Gotten,பெறு (Peṟu) / பெற்றேன் (Peṟṟēn) / பெற்றிருக்கிறேன் (Peṟṟirukkirēn),प्राप्त करना (Prāpt Karnā) / प्राप्त किया (Prāpt Kiyā) / प्राप्त कर चुका (Prāpt Kar Chukā)
312,Go / Went / Gone,போ (Pō) / போனேன் (Pōnēn) / போயிருக்கிறேன் (Pōyirukkirēn),जाना (Jānā) / गया (Gayā) / जा चुका (Jā Chukā)
313,Know / Knew / Known,தெரிந்து கொள் (Terindhu Koḷ) / தெரிந்து கொண்டேன் (Terindhu Koṇḍēn) / தெரிந்து கொண்டிருக்கிறேன் (Terindhu Koṇḍirukkirēn),जानना (Jānnā) / जाना (Jānā) / जान चुका (Jān Chukā)
314,Lay / Laid / Laid,வை (Vai) / வைத்தேன் (Vaittēn) / வைத்திருக்கிறேன் (Vaittirukkirēn),रखना (Rakhnā) / रखा (Rakhā) / रख चुका (Rakh Chukā)
315,Lose / Lost / Lost,இழ (Iḻa) / இழந்தேன் (Iḻandhēn) / இழந்திருக்கிறேன் (Iḻandhirukkirēn),खोना (Khonā) / खोया (Khoyā) / खो चुका (Kho Chukā)
316,Mean / Meant / Meant,அர்த்தம் கொடு (Arththam Koḍu) / அர்த்தம் கொடுத்தேன் (Arththam Koḍuttēn) / அர்த்தம் கொடுத்திருக்கிறேன் (Arththam Koḍuttirukkirēn),मतलब होना (Matlab Honā) / मतलब हुआ (Matlab Huā) / मतलब हो चुका (Matlab Ho Chukā)
317,Meet / Met / Met,சந்தி (Sandhi) / சந்தித்தேன் (Sandhittēn) / சந்தித்திருக்கிறேன் (Sandhittirukkirēn),मिलना (Milnā) / मिला (Milā) / मिल चुका (Mil Chukā)
318,Prove / Proved / Proven,நிரூபி (Nirūpi) / நிரூபித்தேன் (Nirūpittēn) / நிரூபித்திருக்கிறேன் (Nirūpittirukkirēn),सिद्ध करना (Siddh Karnā) / सिद्ध किया (Siddh Kiyā) / सिद्ध कर चुका (Siddh Kar Chukā)
319,Run / Ran / Run,ஓடு (Ōḍu) / ஓடினேன் (Ōḍinēn) / ஓடியுள்ளேன் (Ōḍiyuḷḷēn),दौड़ना (Dauṛnā) / दौड़ा (Dauṛā) / दौड़ चुका (Dauṛ Chukā)
320,Say / Said / Said,சொல் (Sol) / சொன்னேன் (Sonnēn) / சொல்லியிருக்கிறேன் (Solliyirukkirēn),कहना (Kahnā) / कहा (Kahā) / कह चुका (Kah Chukā)
321,Send / Sent / Sent,அனுப்பு (Anuppu) / அனுப்பினேன் (Anuppinēn) / அனுப்பியுள்ளேன் (Anuppiyuḷḷēn),भेजना (Bhejnā) / भेजा (Bhejā) / भेज चुका (Bhej Chukā)
322,Speak / Spoke / Spoken,பேசு (Pēsu) / பேசினேன் (Pēsinēn) / பேசியுள்ளேன் (Pēsiuḷḷēn),बोलना (Bolnā) / बोला (Bolā) / बोल चुका (Bol Chukā)
323,Swim / Swam / Swum,நீந்து (Nīndhu) / நீந்தினேன் (Nīndhinēn) / நீந்தியுள்ளேன் (Nīndhiyuḷḷēn),तैरना (Tairnā) / तैरा (Tairā) / तैर चुका (Tair Chukā)
324,Tell / Told / Told,சொல் (Sol) / சொன்னேன் (Sonnēn) / சொல்லியிருக்கிறேன் (Solliyirukkirēn),बताना (Batānā) / बताया (Batāyā) / बता चुका (Batā Chukā)
325,Think / Thought / Thought,நினை (Niṉai) / நினைத்தேன் (Niṉaittēn) / நினைத்திருக்கிறேன் (Niṉaittirukkirēn),सोचना (Sochnā) / सोचा (Sochā) / सोच चुका (Soch Chukā)
326,Understand / Understood / Understood,புரிந்து கொள் (Purindhu Koḷ) / புரிந்து கொண்டேன் (Purindhu Koṇḍēn) / புரிந்து கொண்டிருக்கிறேன் (Purindhu Koṇḍirukkirēn),समझना (Samajhnā) / समझा (Samjhā) / समझ चुका (Samajh Chukā)
327,Wake / Woke / Woken,விழி (Viḻi) / விழித்தேன் (Viḻittēn) / விழித்திருக்கிறேன் (Viḻittirukkirēn),जागना (Jāgnā) / जागा (Jāgā) / जाग चुका (Jāg Chukā)
328,Win / Won / Won,வெற்றி பெறு (Veṟṟi Peṟu) / வெற்றி பெற்றேன் (Veṟṟi Peṟṟēn) / வெற்றி பெற்றிருக்கிறேன் (Veṟṟi Peṟṟirukkirēn),जीतना (Jītnā) / जीता (Jītā) / जीत चुका (Jīt Chukā)
329,Write / Wrote / Written,எழுது (Eḻudu) / எழுதினேன் (Eḻudinēn) / எழுதியுள்ளேன் (Eḻutiyuḷḷēn),लिखना (Likhna) / लिखा (Likhā) / लिख चुका (Likh Chukā)
330,Burn / Burned/Burnt / Burned/Burnt,எரி (Eri) / எரித்தேன் (Erittēn) / எரித்திருக்கிறேன் (Erittirukkirēn),जलाना (Jalānā) / जलाया (Jalāyā) / जला चुका (Jalā Chukā)
331,Smell / Smelled/Smelt / Smelled/Smelt,நுகர் (Nukar) / நுகர்ந்தேன் (Nukarndhēn) / நுகர்ந்திருக்கிறேன் (Nukarndhirukkirēn),सूँघना (Sūn̐ghnā) / सूँघा (Sūn̐ghā) / सूँघ चुका (Sūn̐gh Chukā)
332,Spell / Spelled/Spelt / Spelled/Spelt,எழுத்துக் கூட்டு (Eḻutthuk Kūṭṭu) / எழுத்துக் கூட்டினேன் (Eḻutthuk Kūṭṭinēn) / எழுத்துக் கூட்டியுள்ளேன் (Eḻutthuk Kūṭṭiyuḷḷēn),हिज्जे करना (Hijje Karnā) / हिज्जे किए (Hijje Kiye) / हिज्जे कर चुका (Hijje Kar Chukā)
333,Spill / Spilled/Spilt / Spilled/Spilt,சிந்து (Sindhu) / சிந்தினேன் (Sindhinēn) / சிந்தியுள்ளேன் (Sindhiyuḷḷēn),छलकना (Chhalaknā) / छलका (Chhalakā) / छलक चुका (Chhalak Chukā)
334,Spoil / Spoiled/Spoilt / Spoiled/Spoilt,கெடு (Keḍu) / கெடுத்தேன் (Keḍuttēn) / கெடுத்திருக்கிறேன் (Keḍuttirukkirēn),खराब करना (Kharāb Karnā) / खराब किया (Kharāb Kiyā) / खराब कर चुका (Kharāb Kar Chukā)
335,Bend / Bent / Bent,வளை (Vaḷai) / வளைத்தேன் (Vaḷaittēn) / வளைத்திருக்கிறேன் (Vaḷaittirukkirēn),झुकना (Jhuknā) / झुका (Jhukā) / झुक चुका (Jhuk Chukā)
336,Build / Built / Built,கட்டு (Kaṭṭu) / கட்டினேன் (Kaṭṭinēn) / கட்டியுள்ளேன் (Kaṭṭiyuḷḷēn),बनाना (Banānā) / बनाया (Banāyā) / बना चुका (Banā Chukā)
337,Lend / Lent / Lent,கடன் கொடு (Kaḍan Koḍu) / கடன் கொடுத்தேன் (Kaḍan Koḍuttēn) / கடன் கொடுத்திருக்கிறேன் (Kaḍan Koḍuttirukkirēn),उधार देना (Udhār Denā) / उधार दिया (Udhār Diyā) / उधार दे चुका (Udhār De Chukā)
338,Rent / Rent / Rent,வாடகைக்கு விடு (Vāḍagaikku Viḍu) / வாடகைக்கு விட்டேன் (Vāḍagaikku Viṭṭēn) / வாடகைக்கு விட்டிருக்கிறேன் (Vāḍagaikku Viṭṭirukkirēn),किराए पर लेना (Kirāye Par Lenā) / किराए पर लिया (Kirāye Par Liyā) / किराए पर ले चुका (Kirāye Par Le Chukā)
339,Rend / Rent / Rent,கிழி (Kiḻi) / கிழித்தேன் (Kiḻittēn) / கிழித்திருக்கிறேன் (Kiḻittirukkirēn),फाड़ना (Phāṛnā) / फाड़ा (Phāṛā) / फाड़ चुका (Phāṛ Chukā)
340,Send / Sent / Sent,அனுப்பு (Anuppu) / அனுப்பினேன் (Anuppinēn) / அனுப்பியுள்ளேன் (Anuppiyuḷḷēn),भेजना (Bhejnā) / भेजा (Bhejā) / भेज चुका (Bhej Chukā)
341,Smell / Smelled/Smelt / Smelled/Smelt,நுகர் (Nukar) / நுகர்ந்தேன் (Nukarndhēn) / நுகர்ந்திருக்கிறேன் (Nukarndhirukkirēn),सूँघना (Sūn̐ghnā) / सूँघा (Sūn̐ghā) / सूँघ चुका (Sūn̐gh Chukā)
342,Spend / Spent / Spent,செலவழி (Selavaḻi) / செலவழித்தேன் (Selavaḻittēn) / செலவழித்திருக்கிறேன் (Selavaḻittirukkirēn),खर्च करना (Kharch Karnā) / खर्च किया (Kharch Kiyā) / खर्च कर चुका (Kharch Kar Chukā)
343,Abide / Abode / Abided,சகித்துக்கொள் (Sagitthukkoḷ) / சகித்துக்கொண்டேன் (Sagitthukkoṇḍēn) / சகித்துக்கொண்டிருக்கிறேன் (Sagitthukkoṇḍirukkirēn),पालन करना (Pālan Karnā) / पालन किया (Pālan Kiyā) / पालन कर चुका (Pālan Kar Chukā)
344,Bear / Bore / Born,தாங்கு (Tāṅgu) / தாங்கினேன் (Tāṅginēn) / தாங்கியுள்ளேன் (Tāṅgiyuḷḷēn),सहना (Sahnā) / सहा (Sahā) / सह चुका (Sah Chukā)
345,Beat / Beat / Beaten,அடி (Aḍi) / அடித்தேன் (Aḍittēn) / அடித்திருக்கிறேன் (Aḍittirukkirēn),पीटना (Pīṭnā) / पीटा (Pīṭā) / पीट चुका (Pīṭ Chukā)
346,Bind / Bound / Bound,கட்டு (Kaṭṭu) / கட்டினேன் (Kaṭṭinēn) / கட்டியுள்ளேன் (Kaṭṭiyuḷḷēn),बांधना (Bāndhnā) / बाँधा (Bāndhā) / बांध चुका (Bāndh Chukā)
347,Break / Broke / Broken,உடை (Uḍai) / உடைத்தேன் (Uḍaittēn) / உடைத்திருக்கிறேன் (Uḍaittirukkirēn),तोड़ना (Toṛnā) / तोड़ा (Toṛā) / तोड़ चुका (Toṛ Chukā)
348,Cling / Clung / Clung,ஒட்டிக்கொள் (Oṭṭikkoḷ) / ஒட்டிக்கொண்டேன் (Oṭṭikkoṇḍēn) / ஒட்டிக்கொண்டிருக்கிறேன் (Oṭṭikkoṇḍirukkirēn),चिपकना (Chipaknā) / चिपका (Chipkā) / चिपक चुका (Chipak Chukā)
349,Draw / Drew / Drawn,வரை (Varai) / வரைந்தேன் (Varaindhēn) / வரைந்திருக்கிறேன் (Varaindhirukkirēn),खींचना (Khīnchnā) / खींचा (Khīnchā) / खींच चुका (Khīnch Chukā)
350,Drive / Drove / Driven,ஓட்டு (Ōṭṭu) / ஓட்டினேன் (Ōṭṭinēn) / ஓட்டியுள்ளேன் (Ōṭṭiyuḷḷēn),चलाना (Chalānā) / चलाया (Chalāyā) / चला चुका (Chalā Chukā)
351,Flee / Fled / Fled,ஓடிப்போ (Ōḍippō) / ஓடிப்போனேன் (Ōḍippōnēn) / ஓடிப்போயிருக்கிறேன் (Ōḍippōyirukkirēn),भागना (Bhāgnā) / भागा (Bhāgā) / भाग चुका (Bhāg Chukā)
352,Forbid / Forbade / Forbidden,தடை செய் (Taḍai Sey) / தடை செய்தேன் (Taḍai Seydhēn) / தடை செய்திருக்கிறேன் (Taḍai Seydhirukkirēn),मना करना (Manā Karnā) / मना किया (Manā Kiyā) / मना कर चुका (Manā Kar Chukā)
353,Grow / Grew / Grown,வளர் (Vaḷar) / வளர்ந்தேன் (Vaḷarndhēn) / வளர்ந்திருக்கிறேன் (Vaḷarndhirukkirēn),बढ़ना (Baṛhnā) / बढ़ा (Baṛhā) / बढ़ चुका (Baṛh Chukā)
354,Hide / Hid / Hidden,மறை (Maṟai) / மறைத்தேன் (Maṟaittēn) / மறைத்திருக்கிறேன் (Maṟaittirukkirēn),छिपाना (Chhipānā) / छिपाया (Chhipāyā) / छिपा चुका (Chhipā Chukā)
355,Mistake / Mistook / Mistaken,தவறாகக்கொள் (Tavaṟāgakkol) / தவறாகக்கொண்டேன் (Tavaṟāgakkoṇḍēn) / தவறாகக்கொண்டிருக்கிறேன் (Tavaṟāgakkoṇḍirukkirēn),गलती करना (Galtī Karnā) / गलती की (Galtī Kī) / गलती कर चुका (Galtī Kar Chukā)
356,Ride / Rode / Ridden,சவாரி செய் (Savāri Sey) / சவாரி செய்தேன் (Savāri Seydhēn) / சவாரி செய்திருக்கிறேன் (Savāri Seydhirukkirēn),सवारी करना (Savārī Karnā) / सवारी की (Savārī Kī) / सवारी कर चुका (Savārī Kar Chukā)
357,Rise / Rose / Risen,எழும்பு (Eḻumbu) / எழும்பினேன் (Eḻumbinēn) / எழும்பியுள்ளேன் (Eḻumbiyuḷḷēn),उठना (Uṭhnā) / उठा (Uṭhā) / उठ चुका (Uṭh Chukā)
358,Shake / Shook / Shaken,அசை (Asai) / அசைத்தேன் (Asaittēn) / அசைத்திருக்கிறேன் (Asaittirukkirēn),हिलाना (Hilānā) / हिलाया (Hilāyā) / हिला चुका (Hilā Chukā)
359,Shine / Shone / Shone,பிரகாசி (Pirakāsi) / பிரகாசித்தேன் (Pirakāsittēn) / பிரகாசித்திருக்கிறேன் (Pirakāsittirukkirēn),चमकना (Chamaknā) / चमका (Chamakā) / चमक चुका (Chamak Chukā)
360,Slay / Slew / Slain,கொல் (Kol) / கொன்றேன் (Konṟēn) / கொன்றிருக்கிறேன் (Konṟirukkirēn),मार डालना (Mār Ḍālnā) / मार डाला (Mār Ḍālā) / मार डाल चुका (Mār Ḍāl Chukā)
361,Smite / Smote / Smitten,தாக்கு (Tākku) / தாக்கினேன் (Tākkinēn) / தாக்கியுள்ளேன் (Tākkiyuḷḷēn),मारना (Mārnā) / मारा (Mārā) / मार चुका (Mār Chukā)
362,Strive / Strove / Striven,போராடு (Pōrāḍu) / போராடினேன் (Pōrāḍinēn) / போராடியுள்ளேன் (Pōrāḍiyuḷḷēn),प्रयास करना (Prayās Karnā) / प्रयास किया (Prayās Kiyā) / प्रयास कर चुका (Prayās Kar Chukā)
363,Tread / Trod / Trodden,மிதி (Mithi) / மிதித்தேன் (Mithittēn) / மிதித்திருக்கிறேன் (Mithittirukkirēn),चलना (Chalnā) / चला (Chalā) / चल चुका (Chal Chukā)
364,Weave / Wove / Woven,நெய் (Ney) / நெய்தேன் (Neydhēn) / நெய்திருக்கிறேன் (Neydhirukkirēn),बुनना (Bunnā) / बुना (Bunā) / बुन चुका (Bun Chukā)
365,Bid / Bade / Bidden,சொல் (Sol) / சொன்னேன் (Sonnēn) / சொல்லியிருக்கிறேன் (Solliyirukkirēn),आदेश देना (Ādeś Denā) / आदेश दिया (Ādeś Diyā) / आदेश दे चुका (Ādeś De Chukā)
366,Fall / Fell / Fallen,விழு (Viḻu) / விழுந்தேன் (Viḻundhēn) / விழுந்திருக்கிறேன் (Viḻundhirukkirēn),गिरना (Girnā) / गिरा (Girā) / गिर चुका (Gir Chukā)
367,Forgo / Forewent / Foregone,விட்டுக்கொடு (Viṭṭukkoḍu) / விட்டுக்கொடுத்தேன் (Viṭṭukkoḍuttēn) / விட்டுக்கொடுத்திருக்கிறேன் (Viṭṭukkoḍuttirukkirēn),त्यागना (Tyāgnā) / त्यागा (Tyāgā) / त्याग चुका (Tyāg Chukā)
368,Foresake / Forsook / Forsaken,கைவிடு (Kaiviḍu) / கைவிட்டேன் (Kaiviṭṭēn) / கைவிட்டிருக்கிறேன் (Kaiviṭṭirukkirēn),छोड़ देना (Choṛ Denā) / छोड़ दिया (Choṛ Diyā) / छोड़ चुका (Choṛ Chukā)
369,Hear / Heard / Heard,கேள் (Kēḷ) / கேட்டேன் (Kēṭṭēn) / கேட்டிருக்கிறேன் (Kēṭṭirukkirēn),सुनना (Sunnā) / सुना (Sunā) / सुन चुका (Sun Chukā)
370,Light / Lit / Lit,எரி (Eri) / எரித்தேன் (Erittēn) / எரித்திருக்கிறேன் (Erittirukkirēn),जलाना (Jalānā) / जलाया (Jalāyā) / जला चुका (Jalā Chukā)
371,Rend / Rent / Rent,பிள (Piḷa) / பிளந்தேன் (Piḷandhēn) / பிளந்திருக்கிறேன் (Piḷandhirukkirēn),चीरना (Chīrnā) / चीरा (Chīrā) / चीर चुका (Chīr Chukā)
372,Ring / Rang / Rung,அடி (Aḍi) / அடித்தேன் (Aḍittēn) / அடித்திருக்கிறேன் (Aḍittirukkirēn),घंटी बजाना (Ghaṇṭī Bajānā) / घंटी बजाई (Ghaṇṭī Bajāī) / घंटी बजा चुका (Ghaṇṭī Bajā Chukā)
373,See / Saw / Seen,பார் (Pār) / பார்த்தேன் (Pārttēn) / பார்த்திருக்கிறேன் (Pārttirukkirēn),देखना (Dekhnā) / देखा (Dekhā) / देख चुका (Dekh Chukā)
374,Sing / Sang / Sung,பாடல் பாடு (Pāḍal Pāḍu) / பாடல் பாடினேன் (Pāḍal Pāḍinēn) / பாடல் பாடியுள்ளேன் (Pāḍal Pāḍiyuḷḷēn),गाना (Gānā) / गाया (Gāyā) / गा चुका (Gā Chukā)
375,Slink / Slunk / Slunk,திருட்டுத்தனமாக நட (Tiruṭṭutthanumāga Naḍa) / திருட்டுத்தனமாக நடந்தேன் (Tiruṭṭutthanumāga Naḍandhēn) / திருட்டுத்தனமாக நடந்திருக்கிறேன் (Tiruṭṭutthanumāga Naḍandhirukkirēn),चुपके से जाना (Chupke Se Jānā) / चुपके से गया (Chupke Se Gayā) / चुपके से जा चुका (Chupke Se Jā Chukā)
376,Spring / Sprang / Sprung,குதி (Kudhi) / குதித்தேன் (Kudhittēn) / குதித்திருக்கிறேன் (Kudhittirukkirēn),उछलना (Uchhalnā) / उछला (Uchhalā) / उछल चुका (Uchhal Chukā)
377,Sting / Stung / Stung,கொட்டு (Koṭṭu) / கொட்டினேன் (Koṭṭinēn) / கொட்டியுள்ளேன் (Koṭṭiyuḷḷēn),डंक मारना (Ḍank Māranā) / डंक मारा (Ḍank Mārā) / डंक मार चुका (Ḍank Mār Chukā)
378,Sweep / Swept / Swept,கூட்டு (Kūṭṭu) / கூட்டினேன் (Kūṭṭinēn) / கூட்டியுள்ளேன் (Kūṭṭiyuḷḷēn),झाड़ू लगाना (Jhāṛū Lagānā) / झाड़ू लगाया (Jhāṛū Lagāyā) / झाड़ू लगा चुका (Jhāṛū Lagā Chukā)
379,Swear / Swore / Sworn,சத்தியம் செய் (Saththiyam Sey) / சத்தியம் செய்தேன் (Saththiyam Seydhēn) / சத்தியம் செய்திருக்கிறேன் (Saththiyam Seydhirukkirēn),कसम खाना (Kasam Khānā) / कसम खाई (Kasam Khāī) / कसम खा चुका (Kasam Khā Chukā)
380,Swim / Swam / Swum,நீந்து (Nīndhu) / நீந்தினேன் (Nīndhinēn) / நீந்தியுள்ளேன் (Nīndhiyuḷḷēn),तैरना (Tairnā) / तैरा (Tairā) / तैर चुका (Tair Chukā)
381,Tear / Tore / Torn,கிழி (Kiḻi) / கிழித்தேன் (Kiḻittēn) / கிழித்திருக்கிறேன் (Kiḻittirukkirēn),फाड़ना (Phāṛnā) / फाड़ा (Phāṛā) / फाड़ चुका (Phāṛ Chukā)
382,Undertake / Undertook / Undertaken,பொறுப்பேற்றுக்கொள் (Poṟuppēṟṟukkoḷ) / பொறுப்பேற்றுக்கொண்டேன் (Poṟuppēṟṟukkoṇḍēn) / பொறுப்பேற்றுக்கொண்டிருக்கிறேன் (Poṟuppēṟṟukkoṇḍirukkirēn),जिम्मेदारी लेना (Zimmedārī Lenā) / जिम्मेदारी ली (Zimmedārī Lī) / जिम्मेदारी ले चुका (Zimmedārī Le Chukā)
383,Upset / Upset / Upset,மன வருத்தம் அடை (Maṉa Varuttham Aḍai) / மன வருத்தம் அடைந்தேன் (Maṉa Varuttham Aḍaindhēn) / மன வருத்தம் அடைந்திருக்கிறேன் (Maṉa Varuttham Aḍaindhirukkirēn),परेशान करना (Pareshān Karnā) / परेशान किया (Pareshān Kiyā) / परेशान कर चुका (Pareshān Kar Chukā)
384,Weep / Wept / Wept,அழு (Aḻu) / அழுதேன் (Aḻudēn) / அழுதிருக்கிறேன் (Aḻudhirukkirēn),रोना (Ronā) / रोया (Royā) / रो चुका (Ro Chukā)
385,Wind / Wound / Wound,சுற்று (Suṟṟu) / சுற்றினேன் (Suṟṟinēn) / சுற்றியுள்ளேன் (Suṟṟiyuḷḷēn),लपेटना (Lapeṭnā) / लपेटा (Lapeṭā) / लपेट चुका (Lapeṭ Chukā)
386,Wring / Wrung / Wrung,பிழி (Piḻi) / பிழிந்தேன் (Piḻindhēn) / பிழிந்திருக்கிறேன் (Piḻindhirukkirēn),निचोड़ना (Nichoṛnā) / निचोड़ा (Nichoṛā) / निचोड़ चुका (Nichoṛ Chukā)
387,Write / Wrote / Written,எழுது (Eḻudu) / எழுதினேன் (Eḻudinēn) / எழுதியுள்ளேன் (Eḻutiyuḷḷēn),लिखना (Likhna) / लिखा (Likhā) / लिख चुका (Likh Chukā)
388,Acquit / Acquitted / Acquitted,விடுவி (Viḍuvi) / விடுவித்தேன் (Viḍuvittēn) / விடுவித்திருக்கிறேன் (Viḍuvittirukkirēn),बरी करना (Barī Karnā) / बरी किया (Barī Kiyā) / बरी कर चुका (Barī Kar Chukā)
389,Argue / Argued / Argued,விவாதி (Vivādhi) / விவாதித்தேன் (Vivādhittēn) / விவாதித்திருக்கிறேன் (Vivādhittirukkirēn),बहस करना (Bahas Karnā) / बहस की (Bahas Kī) / बहस कर चुका (Bahas Kar Chukā)
390,Bless / Blessed / Blessed,ஆசீர்வதி (Āsīrvadhi) / ஆசீர்வதித்தேன் (Āsīrvadhittēn) / ஆசீர்வதித்திருக்கிறேன் (Āsīrvadhittirukkirēn),आशीर्वाद देना (Āśīrvād Denā) / आशीर्वाद दिया (Āśīrvād Diyā) / आशीर्वाद दे चुका (Āśīrvād De Chukā)
391,Calculate / Calculated / Calculated,கணக்கிடு (Kaṇakkiḍu) / கணக்கிட்டேன் (Kaṇakkiṭṭēn) / கணக்கிட்டிருக்கிறேன் (Kaṇakkiṭṭirukkirēn),गणना करना (Gaṇnā Karnā) / गणना की (Gaṇnā Kī) / गणना कर चुका (Gaṇnā Kar Chukā)
392,Challenge / Challenged / Challenged,சவால் விடு (Savāl Viḍu) / சவால் விட்டேன் (Savāl Viṭṭēn) / சவால் விட்டிருக்கிறேன் (Savāl Viṭṭirukkirēn),चुनौती देना (Chunautī Denā) / चुनौती दी (Chunautī Dī) / चुनौती दे चुका (Chunautī De Chukā)
393,Control / Controlled / Controlled,கட்டுப்படுத்து (Kaṭṭuppaḍuttu) / கட்டுப்படுத்தினேன் (Kaṭṭuppaḍuttinēn) / கட்டுப்படுத்தியுள்ளேன் (Kaṭṭuppaḍuttiyuḷḷēn),नियंत्रण करना (Niyantraṇ Karnā) / नियंत्रण किया (Niyantraṇ Kiyā) / नियंत्रण कर चुका (Niyantraṇ Kar Chukā)
394,Dispute / Disputed / Disputed,விவாதம் செய் (Vivādham Sey) / விவாதம் செய்தேன் (Vivādham Seydhēn) / விவாதம் செய்திருக்கிறேன் (Vivādham Seydhirukkirēn),विवाद करना (Vivād Karnā) / विवाद किया (Vivād Kiyā) / विवाद कर चुका (Vivād Kar Chukā)
395,Endure / Endured / Endured,தாங்கிக்கொள் (Tāṅgikkoḷ) / தாங்கிக்கொண்டேன் (Tāṅgikkoṇḍēn) / தாங்கிக்கொண்டிருக்கிறேன் (Tāṅgikkoṇḍirukkirēn),सहन करना (Sahan Karnā) / सहन किया (Sahan Kiyā) / सहन कर चुका (Sahan Kar Chukā)
396,Exceed / Exceeded / Exceeded,மீறு (Mīṟu) / மீறினேன் (Mīṟinēn) / மீறியுள்ளேன் (Mīṟiyuḷḷēn),पार करना (Pār Karnā) / पार किया (Pār Kiyā) / पार कर चुका (Pār Kar Chukā)
397,Focus / Focused / Focused,கவனத்தை செலுத்து (Kavaṉatthai Seluttu) / கவனத்தை செலுத்தினேன் (Kavaṉatthai Seluttinēn) / கவனத்தை செலுத்தியுள்ளேன் (Kavaṉatthai Seluttiyuḷḷēn),ध्यान केंद्रित करना (Dhyān Kendrit Karnā) / ध्यान केंद्रित किया (Dhyān Kendrit Kiyā) / ध्यान केंद्रित कर चुका (Dhyān Kendrit Kar Chukā)
398,Harm / Harmed / Harmed,தீங்கு செய் (Tīṅgu Sey) / தீங்கு செய்தேன் (Tīṅgu Seydhēn) / தீங்கு செய்திருக்கிறேன் (Tīṅgu Seydhirukkirēn),नुकसान पहुँचाना (Nuksān Pahuñchānā) / नुकसान पहुँचाया (Nuksān Pahuñchāyā) / नुकसान पहुँचा चुका (Nuksān Pahuñchā Chukā)
399,Imagine / Imagined / Imagined,கற்பனை செய் (Kaṟpaṉai Sey) / கற்பனை செய்தேன் (Kaṟpaṉai Seydhēn) / கற்பனை செய்திருக்கிறேன் (Kaṟpaṉai Seydhirukkirēn),कल्पना करना (Kalpanā Karnā) / कल्पना की (Kalpanā Kī) / कल्पना कर चुका (Kalpanā Kar Chukā)
