English (V1/V2/V3),Day (Col B),Difficulty,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Distract / Distracted / Distracted,Day 133,Advanced,கவனத்தை திசைதிருப்பு / திருப்பினேன் / திருப்பியுள்ளேன்,ध्यान भटकाना / भटकाया / चुका,1. Don't distract me. // 2. He distracted me. // 3. I was distracted.,1. என் கவனத்தைச் சிதறடிக்காதே. // 2. அவர் என் கவனத்தைச் சிதறடித்தார். // 3. என் கவனம் சிதறடிக்கப்பட்டது.,1. ध्यान मत भटकाओ। // 2. उसने ध्यान भटकाया। // 3. ध्यान भटकाया गया।
Distrain / Distrained / Distrained,Day 133,Advanced,ஜப்தி செய் / செய்தேன் / செய்துள்ளேன்,ज़ब्त करना / किया / कर चुका,1. Distrain the asset. // 2. He distrained it. // 3. It was distrained.,1. சொத்தை ஜப்தி செய். // 2. அவர் அதை ஜப்தி செய்தார். // 3. அது ஜப்தி செய்யப்பட்டது.,1. संपत्ति की कुर्की करो। // 2. उसने कुर्की की। // 3. कुर्की की गई।
Distress / Distressed / Distressed,Day 134,Advanced,வேதனையூட்டு / ஊட்டினேன் / ஊட்டியுள்ளேன்,कष्ट देना / दिया / दे चुका,1. Don't distress. // 2. It distressed him. // 3. He was distressed.,1. வருந்தாதே. // 2. அது அவரை வருத்தியது. // 3. அவர் வருத்தப்பட்டார்.,1. परेशान मत हो। // 2. इसने उसे परेशान किया। // 3. वह परेशान हुआ।
Distribute / Distributed / Distributed,Day 134,Advanced,விநியோகி / விநியோகித்தேன் / விநியோகித்துள்ளேன்,वितरित करना / किया / कर चुका,1. Distribute sweets. // 2. He distributed them. // 3. They were distributed.,1. இனிப்புகளை விநியோகி. // 2. அவர் அவற்றை விநியோகித்தார். // 3. அவை விநியோகிக்கப்பட்டன.,1. मिठाई बांटो। // 2. उसने उन्हें बांटा। // 3. वे बांटे गए।
Distrust / Distrusted / Distrusted,Day 134,Advanced,சந்தேகப்படு / பட்டேன் / பட்டுள்ளேன்,अविश्वास करना / किया / कर चुका,1. Don't distrust him. // 2. He distrusted me. // 3. I was distrusted.,1. அவனைச் சந்தேகிக்காதே. // 2. அவர் என்னைச் சந்தேகித்தார். // 3. நான் சந்தேகிக்கப்பட்டேன்.,1. उस पर अविश्वास मत करो। // 2. उसने अविश्वास किया। // 3. अविश्वास किया गया।
Disturb / Disturbed / Disturbed,Day 134,Advanced,இடையூறு செய் / செய்தேன் / செய்துள்ளேன்,अशांत करना / किया / कर चुका,1. Don't disturb. // 2. He disturbed me. // 3. I was disturbed.,1. தொந்தரவு செய்யாதே. // 2. அவர் என்னைத் தொந்தரவு செய்தார். // 3. நான் தொந்தரவு செய்யப்பட்டேன்.,1. परेशान मत करो। // 2. उसने मुझे परेशान किया। // 3. मुझे परेशान किया गया।
Disunite / Disunited / Disunited,Day 134,Advanced,பிளவை ஏற்படுத்து / ஏற்படுத்தினேன் / ஏற்படுத்தியுள்ளேன்,अलग करना / किया / कर चुका,1. Don't disunite. // 2. They disunited. // 3. They were disunited.,1. பிரிக்காதே. // 2. அவர்கள் பிரிந்தார்கள். // 3. அவர்கள் பிரிக்கப்பட்டார்கள்.,1. अलग मत करो। // 2. वे अलग हुए। // 3. उन्हें अलग किया गया।
Ditch / Ditched / Ditched,Day 135,Advanced,கைவிடு / கைவிட்டேன் / கைவிட்டுள்ளேன்,छुटकारा पाना / पाया / पा चुका,1. Ditch the plan. // 2. He ditched it. // 3. It was ditched.,1. திட்டத்தைக் கைவிடு. // 2. அவர் அதைக் கைவிட்டார். // 3. அது கைவிடப்பட்டது.,1. योजना छोड़ दो। // 2. उसने इसे छोड़ दिया। // 3. इसे छोड़ दिया गया।
Dither / Dithered / Dithered,Day 135,Advanced,முடிவெடுக்கத் தயங்கு / தயங்கினேன் / தயங்கியுள்ளேன்,दुविधा में होना / था / हो चुका,1. Don't dither. // 2. He dithered. // 3. (Intransitive),1. தயங்காதே. // 2. அவர் தயங்கினார். // 3. (பொருந்தாது),1. हिचकिचाओ मत। // 2. वह हिचकिचाया। // 3. (लागू नहीं)
Ditto / Dittoed / Dittoed,Day 135,Advanced,அதையே மீண்டும் செய் / செய்தேன் / செய்துள்ளேன்,वही दोहराना / दोहराया / चुका,1. Ditto that. // 2. He dittoed it. // 3. It was dittoed.,1. அதையே திரும்பச் சொல். // 2. அவர் அதையே சொன்னார். // 3. அதுவே சொல்லப்பட்டது.,1. वही दोहराओ। // 2. उसने वही दोहराया। // 3. वही दोहराया गया।
Divagate / Divagated / Divagated,Day 135,Advanced,திசைமாறி அலை / அலைந்தேன் / அலைந்துள்ளேன்,विषय से भटकना / भटका / चुका,1. Don't divagate. // 2. He divagated. // 3. (Intransitive),1. விலகிச் செல்லாதே. // 2. அவர் விலகிச் சென்றார். // 3. (பொருந்தாது),1. मत भटको। // 2. वह भटक गया। // 3. (लागू नहीं)
Dive / Dived / Dived,Day 135,Advanced,ஆழத்தில் முக்கு / முக்கினேன் / முக்கியுள்ளேன்,गोता लगाना / लगाया / लगा चुका,1. Dive into water. // 2. He dived. // 3. (Intransitive),1. நீரில் பாய். // 2. அவர் பாய்ந்தார். // 3. (பொருந்தாது),1. पानी में गोता लगाओ। // 2. उसने गोता लगाया। // 3. (लागू नहीं)
Diverge / Diverged / Diverged,Day 136,Advanced,பாதையை விட்டு விலகு / விலகினேன் / விலகியுள்ளேன்,हटना (रास्ते से) / हटा / हट चुका,1. Paths diverge. // 2. They diverged. // 3. (Intransitive),1. பாதைகள் பிரிகின்றன. // 2. அவை பிரிந்தன. // 3. (பொருந்தாது),1. रास्ते अलग होते हैं। // 2. वे अलग हो गए। // 3. (लागू नहीं)
Diversify / Diversified / Diversified,Day 136,Advanced,பன்முகப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,विविधता लाना / लाया / ला चुका,1. Diversify business. // 2. He diversified it. // 3. It was diversified.,1. தொழிலைப் பன்முகப்படுத்து. // 2. அவர் அதைப் பன்முகப்படுத்தினார். // 3. அது பன்முகப்படுத்தப்பட்டது.,1. व्यापार में विविधता लाओ। // 2. उसने विविधता लाई। // 3. विविधता लाई गई।
Divert / Diverted / Diverted,Day 136,Advanced,கவனத்தைத் திருப்பு / திருப்பினேன் / திருப்பியுள்ளேன்,मोड़ना / मोड़ा / मोड़ चुका,1. Divert the traffic. // 2. He diverted it. // 3. It was diverted.,1. போக்குவரத்தைத் திருப்பிவிடு. // 2. அவர் அதைத் திருப்பிவிட்டார். // 3. அது திருப்பிவிடப்பட்டது.,1. यातायात मोड़ दो। // 2. उसने इसे मोड़ दिया। // 3. इसे मोड़ दिया गया।
Divest / Divested / Divested,Day 136,Advanced,உரிமையைப் பறி / பறித்தேன் / பறித்துள்ளேன்,वंचित करना / किया / कर चुका,1. Divest the shares. // 2. He divested them. // 3. They were divested.,1. பங்குகளை விற்றுவிடு. // 2. அவர் அவற்றைக் விற்றுவிட்டார். // 3. அவை விற்கப்பட்டன.,1. विनिवेश करो। // 2. उसने विनिवेश किया। // 3. विनिवेश किया गया।
Divide / Divided / Divided,Day 136,Advanced,பாகங்களாகப் பிரி / பிரித்தேன் / பிரித்துள்ளேன்,विभाजित करना / किया / कर चुका,1. Divide the apple. // 2. He divided it. // 3. It was divided.,1. ஆப்பிளைப் பிரி. // 2. அவர் அதைப் பிரித்தார். // 3. அது பிரிக்கப்பட்டது.,1. सेब को बांटो। // 2. उसने इसे बांटा। // 3. इसे बांटा गया।
Divine / Divined / Divined,Day 137,Advanced,ஞானத்தால் உணர் / உணர்ந்தேன் / உணர்ந்துள்ளேன்,दैवीय ज्ञान पाना / पाया / चुका,1. Divine the future. // 2. He divined it. // 3. It was divined.,1. எதிர்காலத்தைக் கணி. // 2. அவர் அதைக் கணித்தார். // 3. அது கணிக்கப்பட்டது.,1. भविष्य की भविष्यवाणी करो। // 2. उसने भविष्यवाणी की। // 3. भविष्यवाणी की गई।
Divorce / Divorced / Divorced,Day 137,Advanced,உறவைத் துண்டி / துண்டித்தேன் / துண்டித்துள்ளேன்,तलाक देना / दिया / दे चुका,1. Divorce him. // 2. She divorced him. // 3. He was divorced.,1. விவாகரத்து செய். // 2. அவள் அவரை விவாகரத்து செய்தாள். // 3. அவர் விவாகரத்து செய்யப்பட்டார்.,1. तलाक दो। // 2. उसने तलाक दिया। // 3. तलाक दिया गया।
Divulge / Divulged / Divulged,Day 137,Advanced,ரகசியத்தை வெளிப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,खुलासा करना / किया / कर चुका,1. Divulge the secret. // 2. He divulged it. // 3. It was divulged.,1. ரகசியத்தை வெளிப்படுத்து. // 2. அவர் அதை வெளிப்படுத்தினார். // 3. அது வெளிப்படுத்தப்பட்டது.,1. राज खोल दो। // 2. उसने राज खोला। // 3. राज खोला गया।
Dizen / Dizened / Dizened,Day 137,Advanced,பகட்டாக அலங்கரி / அலங்கரித்தேன் / அலங்கரித்துள்ளேன்,भड़कीला सजाना / सजाया / चुका,1. Dizen the doll. // 2. He dizened it. // 3. It was dizened.,1. பொம்மையை அலங்கரி. // 2. அவர் அதை அலங்கரித்தார். // 3. அது அலங்கரிக்கப்பட்டது.,1. गुड़िया को सजाओ। // 2. उसने इसे सजाया। // 3. इसे सजाया गया।
Dizzy / Dizzied / Dizzied,Day 137,Advanced,மயக்கமடையச் செய் / செய்தேன் / செய்துள்ளேன்,चकरा देना / चकराया / चकरा चुका,1. Don't dizzy me. // 2. It dizzied me. // 3. I was dizzied.,1. என்னைத் தலைசுற்ற வைக்காதே. // 2. அது என்னைத் தலைசுற்ற வைத்தது. // 3. நான் தலைசுற்ற வைக்கப்பட்டேன்.,1. मुझे चक्कर मत दिलाओ। // 2. इससे मुझे चक्कर आया। // 3. मुझे चक्कर दिलाया गया।
Do / Did / Done,Day 138,Advanced,காரியத்தைச் செய் / செய்தேன் / செய்துள்ளேன்,करना / किया / कर चुका,1. Do the work. // 2. He did it. // 3. It was done.,1. வேலையைச் செய். // 2. அவர் அதைச் செய்தார். // 3. அது செய்யப்பட்டது.,1. काम करो। // 2. उसने इसे किया। // 3. यह किया गया।
Dock / Docked / Docked,Day 138,Advanced,கப்பலைத் தளத்தில் நிறுத்து / நிறுத்தினேன் / நிறுத்தியுள்ளேன்,डॉक में लाना / लाया / ला चुका,1. Dock the ship. // 2. He docked it. // 3. It was docked.,1. கப்பலைக் கரையில் நிறுத்து. // 2. அவர் அதை நிறுத்தினார். // 3. அது நிறுத்தப்பட்டது.,1. जहाज को घाट पर लगाओ। // 2. उसने इसे लगाया। // 3. यह लगाया गया।
Docket / Docketed / Docketed,Day 138,Advanced,சுருக்கமான குறிப்பெழுது / எழுதினேன் / எழுதியுள்ளேன்,सारांश लिखना / लिखा / लिख चुका,1. Docket the case. // 2. He docketed it. // 3. It was docketed.,1. வழக்கை ஆவணப்படுத்து. // 2. அவர் அதை ஆவணப்படுத்தினார். // 3. அது ஆவணப்படுத்தப்பட்டது.,1. मामले को सूची में डालो। // 2. उसने इसे डाला। // 3. यह डाला गया।
Doctor / Doctored / Doctored,Day 138,Advanced,போலியாக மாற்று (ஆவணம்) / மாற்றினேன் / மாற்றியுள்ளேன்,जालसाजी करना / की / कर चुका,1. Doctor the document. // 2. He doctored it. // 3. It was doctored.,1. ஆவணத்தைத் திருத்து (மோசடி). // 2. அவர் அதைத் திருத்தினார். // 3. அது திருத்தப்பட்டது.,1. दस्तावेज में छेड़छाड़ करो। // 2. उसने छेड़छाड़ की। // 3. छेड़छाड़ की गई।
Document / Documented / Documented,Day 138,Advanced,ஆவணப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,दस्तावेज़ीकरण करना / किया / चुका,1. Document the fact. // 2. He documented it. // 3. It was documented.,1. உண்மையை ஆவணப்படுத்து. // 2. அவர் அதை ஆவணப்படுத்தினார். // 3. அது ஆவணப்படுத்தப்பட்டது.,1. तथ्य का दस्तावेजीकरण करो। // 2. उसने दस्तावेजीकरण किया। // 3. दस्तावेजीकरण किया गया।
Dodge / Dodged / Dodged,Day 139,Advanced,தந்திரமாகத் தவிர் / தவிர்த்தேன் / தவிர்த்துள்ளேன்,चकमा देना / दिया / दे चुका,1. Dodge the ball. // 2. He dodged it. // 3. It was dodged.,1. பந்திலிருந்து தப்பி. // 2. அவர் அதிலிருந்து தப்பினார். // 3. அது தவிர்க்கப்பட்டது.,1. गेंद से बचो। // 2. वह गेंद से बचा। // 3. यह टाला गया।
Doff / Doffed / Doffed,Day 139,Advanced,ஆடையைக் களை / களைந்தேன் / களைந்துள்ளேன்,उतारना (टोपी/कपड़े) / उतारा / चुका,1. Doff your hat. // 2. He doffed it. // 3. It was doffed.,1. தொப்பையைக் கழற்று. // 2. அவர் அதைக் கழற்றினார். // 3. அது கழற்றப்பட்டது.,1. टोपी उतारो। // 2. उसने इसे उतारा। // 3. यह उतारी गई।
Dog / Dogged / Dogged,Day 139,Advanced,பின் தொடர்ந்து துரத்து / துரத்தினேன் / துரத்தியுள்ளேன்,पीछा करना / किया / कर चुका,1. Dog his steps. // 2. He dogged him. // 3. He was dogged.,1. அவனைப் பின்தொடர். // 2. அவர் அவனைப் பின்தொடர்ந்தார். // 3. அவன் பின்தொடரப்பட்டான்.,1. उसका पीछा करो। // 2. उसने उसका पीछा किया। // 3. उसका पीछा किया गया।
Dogmatize / Dogmatized / Dogmatized,Day 139,Advanced,பிடிவாதமாகப் பேசு / பேசினேன் / பேசியுள்ளேன்,सिद्धांत बघारना / बघारा / चुका,1. Don't dogmatize. // 2. He dogmatized. // 3. (Intransitive),1. பிடிவாதம் பிடிக்காதே. // 2. அவர் பிடிவாதம் பிடித்தார். // 3. (பொருந்தாது),1. हठधर्मिता मत करो। // 2. उसने हठधर्मिता की। // 3. (लागू नहीं)
Doll / Dolled / Dolled,Day 139,Advanced,பொம்மை போல அலங்கரி / அலங்கரித்தேன் / அலங்கரித்துள்ளேன்,संजना-सवरना / संजा / संज चुका,1. Doll yourself up. // 2. She dolled up. // 3. (Intransitive),1. அலங்கரித்துக்கொள். // 2. அவள் அலங்கரித்துக்கொண்டாள். // 3. (பொருந்தாது),1. सज-धज लो। // 2. वह सज-धज गई। // 3. (लागू नहीं)
Domesticate / Domesticated / Domesticated,Day 140,Advanced,பழக்கப்படுத்து (விலங்கு) / படுத்தினேன் / படுத்தியுள்ளேன்,पालतू बनाना / बनाया / बना चुका,1. Domesticate it. // 2. He domesticated it. // 3. It was domesticated.,1. விலங்கைப் பழக்கு. // 2. அவர் அதைப் பழக்கினார். // 3. அது பழக்கப்பட்டது.,1. पालतू बनाओ। // 2. उसने इसे पालतू बनाया। // 3. इसे पालतू बनाया गया।
Dominate / Dominated / Dominated,Day 140,Advanced,ஆதிக்கம் செலுத்து / செலுத்தினேன் / செலுத்தியுள்ளேன்,हावी होना / हुआ / हो चुका,1. Dominate the game. // 2. He dominated it. // 3. It was dominated.,1. ஆட்டத்தில் ஆதிக்கம் செலுத்து. // 2. அவர் அதில் ஆதிக்கம் செலுத்தினார். // 3. அது ஆதிக்கம் செலுத்தப்பட்டது.,1. खेल पर हावी हो जाओ। // 2. वह हावी हुआ। // 3. हावी हुआ गया।
Domineer / Domineered / Domineered,Day 140,Advanced,அதிகாரத்துடன் நடத்து / நடத்தினேன் / நடத்தியுள்ளேன்,धौंस जमाना / जमाई / जमा चुका,1. Don't domineer. // 2. He domineered. // 3. (Intransitive),1. அடக்கி ஆளாதே. // 2. அவர் அடக்கி ஆண்டார். // 3. (பொருந்தாது),1. हुक्म मत चलाओ। // 2. उसने हुक्म चलाया। // 3. (लागू नहीं)
Don / Donned / Donned,Day 140,Advanced,ஆடை அணி / அணிந்தேன் / அணிந்துள்ளேன்,पहनना (कपड़े) / पहने / पहन चुका,1. Don the coat. // 2. He donned it. // 3. It was donned.,1. அங்கியைக் அணி. // 2. அவர் அதை அணிந்தார். // 3. அது அணியப்பட்டது.,1. कोट पहन लो। // 2. उसने इसे पहना। // 3. यह पहना गया।
Donate / Donated / Donated,Day 140,Advanced,தானமாக வழங்கு / வழங்கினேன் / வழங்கியுள்ளேன்,दान देना / दिया / दे चुका,1. Donate money. // 2. He donated it. // 3. It was donated.,1. பணம் நன்கொடை அளி. // 2. அவர் அதை நன்கொடை அளித்தார். // 3. அது நன்கொடை அளிக்கப்பட்டது.,1. दान करो। // 2. उसने दान किया। // 3. दान किया गया।
Doodle / Doodled / Doodled,Day 141,Advanced,கிறுக்கு / கிறுக்கினேன் / கிறுக்கியுள்ளேன்,अनमने भाव से लिखना / लिखा / चुका,1. Don't doodle. // 2. He doodled. // 3. It was doodled.,1. கிறுக்காதே. // 2. அவர் கிறுக்கினார். // 3. அது கிறுக்கப்பட்டது.,1. डूडल मत बनाओ। // 2. उसने डूडल बनाया। // 3. यह बनाया गया।
Doom / Doomed / Doomed,Day 141,Advanced,அழிவைத் தீர்மானி / தீர்மானித்தேன் / தீர்மானித்துள்ளேன்,दुर्भाग्य तय करना / किया / चुका,1. Doom him to fail. // 2. He doomed him. // 3. He was doomed.,1. அவனை நாசமாக்கு (சபி). // 2. அவர் அவனை நாசமாக்கினார். // 3. அவன் நாசமாக்கப்பட்டான்.,1. बर्बाद करो। // 2. उसने बर्बाद किया। // 3. वह बर्बाद हो गया।
Dose / Dosed / Dosed,Day 141,Advanced,மருந்து அளவோடு கொடு / கொடுத்தேன் / கொடுத்துள்ளேன்,दवा की खुराक देना / दी / दे चुका,1. Dose the patient. // 2. He dosed him. // 3. He was dosed.,1. மருந்து கொடு. // 2. அவர் அவருக்கு மருந்து கொடுத்தார். // 3. அவருக்கு மருந்து கொடுக்கப்பட்டது.,1. खुराक दो। // 2. उसने खुराक दी। // 3. खुराक दी गई।
Dot / Dotted / Dotted,Day 141,Advanced,புள்ளியிடு / இட்டேன் / இட்டுள்ளேன்,बिंदु लगाना / लगाया / लगा चुका,1. Dot the 'i'. // 2. He dotted it. // 3. It was dotted.,1. புள்ளி வை. // 2. அவர் புள்ளி வைத்தார். // 3. புள்ளி வைக்கப்பட்டது.,1. बिंदु लगाओ। // 2. उसने बिंदु लगाया। // 3. बिंदु लगाया गया।
Dote / Doted / Doted,Day 141,Advanced,மிகையாக அன்பு காட்டு / காட்டினேன் / காட்டியுள்ளேன்,लाड़-प्यार करना / किया / कर चुका,1. Dote on her. // 2. He doted on her. // 3. (Intransitive),1. அன்பு செலுத்து (அதிகமாக). // 2. அவர் அவள் மேல் அன்பு செலுத்தினார். // 3. (பொருந்தாது),1. लाड़ प्यार करो। // 2. उसने लाड़ प्यार किया। // 3. (लागू नहीं)
Double / Doubled / Doubled,Day 142,Advanced,இரட்டிப்பாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,दुगुना करना / किया / कर चुका,1. Double the bet. // 2. He doubled it. // 3. It was doubled.,1. பந்தயத்தை இரட்டிப்பாக்கு. // 2. அவர் அதை இரட்டிப்பாக்கினார். // 3. அது இரட்டிப்பாக்கப்பட்டது.,1. शर्त दुगुनी करो। // 2. उसने इसे दुगुना किया। // 3. यह दुगुना किया गया।
Doubt / Doubted / Doubted,Day 142,Advanced,ஐயப்படு / பட்டேன் / பட்டுள்ளேன்,संदेह करना / किया / कर चुका,1. Doubt the truth. // 2. He doubted it. // 3. It was doubted.,1. உண்மையைச் சந்தேகி. // 2. அவர் அதைச் சந்தேகித்தார். // 3. அது சந்தேகிக்கப்பட்டது.,1. सच पर शक करो। // 2. उसने शक किया। // 3. शक किया गया।
Douse / Doused / Doused,Day 142,Advanced,அணை (நீரால்) / அணைத்தேன் / அணைத்துள்ளேன்,पानी में डुबोना / डुबोया / चुका,1. Douse the fire. // 2. He doused it. // 3. It was doused.,1. நெருப்பை அணை. // 2. அவர் அதை அணைத்தார். // 3. அது அணைக்கப்பட்டது.,1. आग बुझाओ। // 2. उसने इसे बुझाया। // 3. यह बुझाया गया।
Dovetail / Dovetailed / Dovetailed,Day 142,Advanced,கச்சிதமாக இணை / இணைத்தேன் / இணைத்துள்ளேன்,तालमेल बिठाना / बिठाया / चुका,1. Dovetail plans. // 2. They dovetailed. // 3. It was dovetailed.,1. திட்டங்களை ஒருங்கிணை. // 2. அவை ஒருங்கிணைந்தன. // 3. அது ஒருங்கிணைக்கப்பட்டது.,1. योजनाएँ मिलाओ। // 2. वे मिल गईं। // 3. इसे मिलाया गया।
Down / Downed / Downed,Day 142,Advanced,கீழே தள்ளு / தள்ளினேன் / தள்ளியுள்ளேன்,नीचे गिराना / गिराया / गिरा चुका,1. Down the drink. // 2. He downed it. // 3. It was downed.,1. பானத்தை ஒரே மூச்சில் குடி. // 2. அவர் அதைக் குடித்தார். // 3. அது குடிக்கப்பட்டது.,1. ड्रिंक गटक जाओ। // 2. उसने इसे गटक लिया। // 3. यह गटक लिया गया।
Downsize / Downsized / Downsized,Day 143,Advanced,அளவைக் குறை / குறைத்தேன் / குறைத்துள்ளேன்,आकार कम करना / किया / कर चुका,1. Downsize it. // 2. He downsized it. // 3. It was downsized.,1. அதைச் சுருக்கு (ஆட்குறைப்பு). // 2. அவர் அதைச் சுருக்கினார். // 3. அது சுருக்கப்பட்டது.,1. छोटा करो। // 2. उसने इसे छोटा किया। // 3. इसे छोटा किया गया।
Doze / Dozed / Dozed,Day 143,Advanced,சிறுதூக்கம் போடு / போட்டேன் / போட்டுள்ளேன்,ऊंघना / ऊंघा / ऊंघ चुका,1. Don't doze. // 2. He dozed. // 3. (Intransitive),1. தூங்காதே (குட்டித் தூக்கம்). // 2. அவர் தூங்கினார். // 3. (பொருந்தாது),1. ऊंघो मत। // 2. वह ऊंघा। // 3. (लागू नहीं)
Draft / Drafted / Drafted,Day 143,Advanced,வரைவு செய் / செய்தேன் / செய்துள்ளேன்,मसौदा तैयार करना / किया / चुका,1. Draft the letter. // 2. He drafted it. // 3. It was drafted.,1. கடிதத்தை வரைவு செய். // 2. அவர் அதை வரைவு செய்தார். // 3. அது வரைவு செய்யப்பட்டது.,1. मसौदा तैयार करो। // 2. उसने मसौदा तैयार किया। // 3. मसौदा तैयार किया गया।
Drag / Dragged / Dragged,Day 143,Advanced,இழுத்துச் செல் / சென்றேன் / சென்றுள்ளேன்,घसीटना / घसीटा / घसीट चुका,1. Drag the box. // 2. He dragged it. // 3. It was dragged.,1. பெட்டியை இழு. // 2. அவர் அதை இழுத்தார். // 3. அது இழுக்கப்பட்டது.,1. बॉक्स घसीटो। // 2. उसने इसे घसीटा। // 3. यह घसीटा गया।
Drain / Drained / Drained,Day 143,Advanced,வடி (திரவம்) / வடித்தேன் / வடித்திருக்கிறேன்,खाली करना / किया / कर चुका,1. Drain the water. // 2. He drained it. // 3. It was drained.,1. தண்ணீரை வடி. // 2. அவர் அதை வடித்தார். // 3. அது வடிக்கப்பட்டது.,1. पानी निकालो। // 2. उसने इसे निकाला। // 3. यह निकाला गया।
Dramatize / Dramatized / Dramatized,Day 144,Advanced,நாடகமாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,नाटकीय बनाना / बनाया / बना चुका,1. Don't dramatize. // 2. He dramatized it. // 3. It was dramatized.,1. மிகைப்படுத்தாதே. // 2. அவர் அதை மிகைப்படுத்தினார். // 3. அது மிகைப்படுத்தப்பட்டது.,1. नाटक मत करो। // 2. उसने नाटक किया। // 3. नाटक किया गया।
Drape / Draped / Draped,Day 144,Advanced,திரையிடு / இட்டேன் / இட்டுள்ளேன்,परदा लटकाना / लटकाया / चुका,1. Drape the saree. // 2. She draped it. // 3. It was draped.,1. சேலையை உடுத்து (சுற்றி). // 2. அவள் அதை உடுத்தினாள். // 3. அது உடுத்தப்பட்டது.,1. साड़ी लपेटो। // 2. उसने इसे लपेटा। // 3. यह लपेटा गया।
Draw / Drew / Drawn,Day 144,Advanced,வரை / வரைந்தேன் / வரைந்துள்ளேன்,खींचना / खींचा / खींच चुका,1. Draw a picture. // 2. He drew it. // 3. It was drawn.,1. படம் வரை. // 2. அவர் அதை வரைந்தார். // 3. அது வரையப்பட்டது.,1. चित्र बनाओ। // 2. उसने इसे बनाया। // 3. यह बनाया गया।
Dread / Dreaded / Dreaded,Day 144,Advanced,பெரிதும் அஞ்சு / அஞ்சினேன் / அஞ்சியுள்ளேன்,अत्यधिक डरना / डरा / डर चुका,1. Dread the exam. // 2. He dreaded it. // 3. It was dreaded.,1. தேர்வை நினைத்து அஞ்சு. // 2. அவர் அதை நினைத்து அஞ்சினார். // 3. அது அஞ்சப்பட்டது.,1. परीक्षा से डरो। // 2. वह डरा। // 3. (लागू नहीं)
Dream / Dreamed / Dreamed,Day 144,Advanced,கனவு காண் / கண்டேன் / கண்டுள்ளேன்,सपना देखना / देखा / देख चुका,1. Dream big. // 2. He dreamed. // 3. It was dreamed.,1. பெரிதாகக் கனவு காண். // 2. அவர் கனவு கண்டார். // 3. அது கனவு காணப்பட்டது.,1. बड़ा सपना देखो। // 2. उसने सपना देखा। // 3. सपना देखा गया।
Dredge / Dredged / Dredged,Day 145,Advanced,தூர்வாரு / வாரினேன் / வாரியுள்ளேன்,कीचड़ निकालना / निकाला / चुका,1. Dredge the river. // 2. They dredged it. // 3. It was dredged.,1. ஆற்றைத் தூர்வாரு. // 2. அவர்கள் அதைத் தூர்வாரினார்கள். // 3. அது தூர்வாரப்பட்டது.,1. नदी साफ करो (कीचड़ निकालना)। // 2. उन्होंने इसे साफ किया। // 3. यह साफ की गई।
Drench / Drenched / Drenched,Day 145,Advanced,முழுமையாக நனை / நனைத்தேன் / நனைத்துள்ளேன்,सराबोर करना / किया / कर चुका,1. Drench the plant. // 2. He drenched it. // 3. It was drenched.,1. செடியை நனை. // 2. அவர் அதை நனைத்தார். // 3. அது நனைக்கப்பட்டது.,1. पौधे को भिगो दो। // 2. उसने इसे भिगोया। // 3. यह भिगोया गया।
Dress / Dressed / Dressed,Day 145,Advanced,ஆடை அணிவி / அணிவித்தேன் / அணிவித்துள்ளேன்,कपड़े पहनना / पहने / पहन चुका,1. Dress quickly. // 2. He dressed. // 3. He was dressed.,1. சீக்கிரம் ஆடை அணி. // 2. அவர் ஆடை அணிந்தார். // 3. அவர் ஆடை அணிவிக்கப்பட்டார்.,1. जल्दी कपड़े पहनो। // 2. उसने कपड़े पहने। // 3. कपड़े पहनाए गए।
Dribble / Dribbled / Dribbled,Day 145,Advanced,சொட்டுச் சொட்டாக வடியவிடு / வடியவிட்டேன்,टपकाना / टपकाया / टपका चुका,1. Dribble the ball. // 2. He dribbled it. // 3. It was dribbled.,1. பந்தைச் தட்டிச் செல். // 2. அவர் அதைச் தட்டிச் சென்றார். // 3. அது தட்டிச் செல்லப்பட்டது.,1. गेंद को ड्रिबल करो। // 2. उसने ड्रिबल किया। // 3. ड्रिबल किया गया।
Drift / Drifted / Drifted,Day 145,Advanced,திசைமாறி மிதந்து செல் / சென்றேன் / சென்றுள்ளேன்,बहना (धारा के साथ) / बहा / चुका,1. Don't drift. // 2. He drifted. // 3. (Intransitive),1. விலகிச் செல்லாதே (மிதந்து). // 2. அவர் விலகிச் சென்றார். // 3. (பொருந்தாது),1. बहना/भटकना। // 2. वह बह गया। // 3. (लागू नहीं)
Drill / Drilled / Drilled,Day 146,Advanced,துளையிடு / இட்டேன் / இட்டுள்ளேன்,छेद करना / किया / कर चुका,1. Drill a hole. // 2. He drilled it. // 3. It was drilled.,1. துளையிடு. // 2. அவர் துளையிட்டார். // 3. துளையிடப்பட்டது.,1. छेद करो। // 2. उसने छेद किया। // 3. छेद किया गया।
