Day Number,Difficulty,English,Tamil (தமிழ்),Hindi (हिंदी)
Day 106,beginner.,Tie the laces.,லேஸ்களைக் கட்டுங்கள். (Lace-galai kattungal.),फीते बांधो। (Feete baandho.)
Day 107,beginner.,They are too tight.,அவை மிகவும் இறுக்கமாக உள்ளன. (Avai migavum irukkamaaga ullana.),वे बहुत तंग हैं। (Ve bahut tang hain.)
Day 107,beginner.,I need a bigger size.,எனக்கு பெரிய அளவு தேவை. (Enakku periya alavu thevai.),मुझे बड़ा साइज चाहिए। (Mujhe bada size chahiye.)
Day 107,beginner.,These are comfortable.,இவை வசதியாக உள்ளன. (Ivai vasadhiyaaga ullana.),ये आरामदायक हैं। (Ye aaramdayak hain.)
Day 107,beginner.,Switch on the fan.,மின்விசிறியைப் போடுங்கள். (Minvisiriyaip podungal.),पंखा चलाओ। (Pankha chalao.)
Day 107,beginner.,It is very humid.,காற்று மிகவும் ஈரப்பதமாக உள்ளது. (Kaatru migavum eerapadhamaaga ulladhu.),बहुत उमस है। (Bahut umas hai.)
Day 108,beginner.,Sit under the fan.,மின்விசிறியின் கீழ் உட்காருங்கள். (Minvisiriyin keezh utkaarungal.),पंखे के नीचे बैठो। (Pankhe ke neeche baitho.)
Day 108,beginner.,Now it is better.,இப்போது பரவாயில்லை. (Ippodhu paravaayillai.),अब बेहतर है। (Ab behtar hai.)
Day 108,beginner.,Where is my bag?,என் பை எங்கே? (En pai engay?),मेरा बैग कहाँ है? (Mera bag kahan hai?)
Day 108,beginner.,It is on the chair.,அது நாற்காலியில் உள்ளது. (Adhu naarkaliyil ulladhu.),वह कुर्सी पर है। (Wah kursi par hai.)
Day 108,beginner.,I can't find my keys.,என் சாவிகளைக் காணவில்லை. (En saavigalaik kaanavillai.),मुझे मेरी चाबियाँ नहीं मिल रही हैं। (Mujhe meri chabiyaan nahi mil rahi hain.)
Day 109,beginner.,Look inside the pocket.,பாக்கெட்டுக்குள் பாருங்கள். (Pocket-ukkul paarungal.),जेब के अंदर देखो। (Jeb ke andar dekho.)
Day 109,beginner.,"Yes, here they are.","ஆம், இதோ இங்கே உள்ளன. (Aam, idho ingay ullana.)","हाँ, ये यहाँ हैं। (Haan, ye yahan hain.)"
Day 109,beginner.,Do you want tea?,உங்களுக்குத் தேநீர் வேண்டுமா? (Ungalukkuth theneer venduma?),क्या आपको चाय चाहिए? (Kya aapko chai chahiye?)
Day 109,beginner.,I prefer coffee.,நான் காபியை விரும்புகிறேன். (Naan coffee-ai virumbugiren.),मुझे कॉफी ज्यादा पसंद है। (Mujhe coffee zyada pasand hai.)
Day 109,beginner.,Add less sugar.,சர்க்கரை குறைவாகச் சேர்க்கவும். (Sarkkarai kuraivaagach serkkavum.),चीनी कम डालना। (Cheeni kam daalna.)
Day 110,beginner.,The tea is hot.,தேநீர் சூடாக இருக்கிறது. (Theneer sudaaga irukkiradhu.),चाय गर्म है। (Chai garm hai.)
Day 110,beginner.,Drink it slowly.,அதை மெதுவாகக் குடியுங்கள். (Adhai medhuvaagak kudiyungal.),इसे धीरे-धीरे पिएं। (Ise dheere-dheere piyein.)
Day 110,beginner.,It is a sunny day.,இது ஒரு வெயில் நாள். (Idhu oru veyil naal.),आज धूप वाला दिन है। (Aaj dhoop wala din hai.)
Day 110,beginner.,Let's go swimming.,நீந்தச் செல்வோம். (Neendhach selvoam.),चलो तैरने चलते हैं। (Chalo tairne chalte hain.)
Day 110,beginner.,The water is warm.,தண்ணீர் வெதுவெதுப்பாக உள்ளது. (Thanneer vedhuvedhuppaaga ulladhu.),पानी गुनगुना है। (Paani gunguna hai.)
Day 111,beginner.,Don't stay too long.,அதிக நேரம் இருக்க வேண்டாம். (Adhiga neram irukka vendaam.),बहुत देर तक मत रुकना। (Bahut der tak mat rukna.)
Day 111,beginner.,I am coming out.,நான் வெளியே வருகிறேன். (Naan veliyay varugiren.),मैं बाहर आ रहा हूँ। (Main baahar aa raha hoon.)
Day 111,beginner.,Clean your room.,உங்கள் அறையைச் சுத்தம் செய்யுங்கள். (Ungal araiyais suththam seiyungal.),अपना कमरा साफ करो। (Apna kamra saaf karo.)
Day 111,beginner.,Pick up the toys.,பொம்மைகளை எடுங்கள். (Bommaigalai edungal.),खिलौने उठाओ। (Khilaune uthao.)
Day 111,beginner.,Put them in the box.,அவற்றை பெட்டியில் போடுங்கள். (Avatrai pettiyil podungal.),उन्हें डिब्बे में डाल दो। (Unhein dibbe mein daal do.)
Day 112,beginner.,Fold the clothes.,துணிகளை மடியுங்கள். (Thunigalai madiyungal.),कपड़े तह करो। (Kapde teh karo.)
Day 112,beginner.,The room looks tidy.,அறை சுத்தமாகத் தெரிகிறது. (Arai suththamaagath therigiradhu.),कमरा साफ-सुथरा लग रहा है। (Kamra saaf-suthra lag raha hai.)
Day 112,beginner.,Is it Friday today?,இன்று வெள்ளிக்கிழமையா? (Indru vellikilamaiyaa?),क्या आज शुक्रवार है? (Kya aaj shukravaar hai?)
Day 112,beginner.,"Yes, it is.","ஆம், இன்றுதான். (Aam, indrudhaan.)","हाँ, आज ही है। (Haan, aaj hi hai.)"
Day 112,beginner.,Plans for weekend?,வார இறுதிக்குத் திட்டங்கள்? (Vaara irudhikkuth thittangal?),वीकेंड के लिए क्या प्लान है? (Weekend ke liye kya plan hai?)
Day 113,beginner.,I will visit family.,நான் குடும்பத்தைப் பார்ப்பேன். (Naan kudumbaththaip paarppen.),मैं परिवार से मिलने जाऊंगा। (Main parivaar se milne jaunga.)
Day 113,beginner.,Have a great time.,நல்ல நேரத்தைக் கழியுங்கள். (Nalla neraththaik kaliyungal.),आपका समय अच्छा बीते। (Aapka samay accha beete.)
Day 113,beginner.,What is that noise?,அது என்ன சத்தம்? (Adhu enna saththam?),वह शोर कैसा है? (Wah shor kaisa hai?)
Day 113,beginner.,Someone is singing.,யாரோ பாடுகிறார்கள். (Yaaro paadugiraargal.),कोई गा रहा है। (Koi gaa raha hai.)
Day 113,beginner.,They sing well.,அவர்கள் நன்றாகப் பாடுகிறார்கள். (Avargal nandraga paadugiraargal.),वे अच्छा गाते हैं। (Ve accha gaate hain.)
Day 114,beginner.,Listen to the melody.,இசையைக் கேளுங்கள். (Isaiyaik kelungal.),धुन सुनो। (Dhun suno.)
Day 114,beginner.,It is very peaceful.,இது மிகவும் அமைதியாக இருக்கிறது. (Idhu migavum amaidhiyaaga irukkiradhu.),यह बहुत शांतिपूर्ण है। (Yeh bahut shaantipoorna hai.)
Day 114,beginner.,We reached the goal.,நாம் இலக்கை அடைந்துவிட்டோம். (Naam ilakkai adaindhuvittoam.),हम लक्ष्य तक पहुँच गए हैं। (Hum lakshya tak pahunch gaye hain.)
Day 114,beginner.,Keep practicing.,பயிற்சியைத் தொடருங்கள். (Payirchiyaith thodarungal.),अभ्यास जारी रखें। (Abhyas jaari rakhein.)
Day 114,beginner.,You are doing great.,நீங்கள் சிறப்பாகச் செய்கிறீர்கள். (Neengal sirappagach seigireergal.),आप बहुत अच्छा कर रहे हैं। (Aap bahut accha kar rahe hain.)
Day 115,beginner.,Wear a sweater.,ஸ்வெட்டர் அணியுங்கள். (Sweater aniyungal.),स्वेटर पहनें। (Sweater pehnein.)
Day 115,beginner.,Do you want hot water?,உங்களுக்கு சுடு தண்ணீர் வேண்டுமா? (Ungalukku sudu thanneer venduma?),क्या आपको गर्म पानी चाहिए? (Kya aapko garm pani chahiye?)
Day 115,beginner.,I have a question.,எனக்கு ஒரு கேள்வி உள்ளது. (Enakku oru kelvi ulladhu.),मेरा एक सवाल है। (Mera ek sawal hai.)
Day 115,beginner.,Can you explain this?,இதை விளக்க முடியுமா? (Idhai vilakka mudiyuma?),क्या आप इसे समझा सकते हैं? (Kya aap ise samjha sakte hain?)
Day 115,beginner.,I don't understand.,எனக்கு புரியவில்லை. (Enakku puriyavillai.),मुझे समझ नहीं आया। (Mujhe samajh nahi aaya.)
Day 116,beginner.,Please say it slowly.,தயவுசெய்து மெதுவாகச் சொல்லுங்கள். (Thayavuseidhu medhuvaagach sollungal.),कृपया धीरे बोलें। (Kripya dheere bolein.)
Day 116,beginner.,Now I understand.,இப்போது எனக்குப் புரிகிறது. (Ippodhu enakku purigiradhu.),अब मुझे समझ आ गया। (Ab mujhe samajh aa gaya.)
Day 116,beginner.,Is it raining?,மழை பெய்கிறதா? (Mazhai peigiradha?),क्या बारिश हो रही है? (Kya baarish ho rahi hai?)
Day 116,beginner.,Just a little bit.,கொஞ்சம் தான். (Konjam dhaan.),बस थोड़ी सी। (Bas thodi si.)
Day 116,beginner.,The ground is wet.,தரை ஈரமாக இருக்கிறது. (Tharai eeramaaga irukkiradhu.),जमीन गीली है। (Zameen geeli hai.)
Day 117,beginner.,Watch your step.,பார்த்து நடங்கள். (Paarthu nadungal.),देखकर चलो। (Dekhkar chalo.)
Day 117,beginner.,Don't slip.,வழுக்கி விடாதீர்கள். (Valukki vidaatheergal.),फिसल मत जाना। (Fisal mat jaana.)
Day 117,beginner.,Where is the library?,நூலகம் எங்கே இருக்கிறது? (Noolagam engay irukkiradhu?),पुस्तकालय कहाँ है? (Pustakalay kahan hai?)
Day 117,beginner.,It is next to the park.,அது பூங்காவிற்கு அருகில் உள்ளது. (Adhu poongaavirku arugil ulladhu.),यह पार्क के बगल में है। (Yeh park ke bagal mein hai.)
Day 117,beginner.,Is it open today?,இன்று அது திறந்துள்ளதா? (Indru adhu thirandhulladha?),क्या यह आज खुला है? (Kya yeh aaj khula hai?)
Day 118,beginner.,I want to borrow a book.,நான் ஒரு புத்தகம் வாங்க வேண்டும். (Naan oru puthagam vaanga vendum.),मैं एक किताब उधार लेना चाहता हूँ। (Main ek kitaab udhaar lena chahta hoon.)
Day 118,beginner.,Please be quiet there.,அங்கே அமைதியாக இருங்கள். (Angay amaidhiyaaga irungal.),वहाँ कृपया शांत रहें। (Wahan kripya shaant rahein.)
Day 118,beginner.,Do you like flowers?,உங்களுக்கு பூக்கள் பிடிக்குமா? (Ungalukku pookkal pidikkuma?),क्या आपको फूल पसंद हैं? (Kya aapko phool pasand hain?)
Day 118,beginner.,This rose smells nice.,இந்த ரோஜா நல்ல வாசனையாக உள்ளது. (Indha roja nalla vaasanaiyaaga ulladhu.),इस गुलाब की खुशबू अच्छी है। (Is gulaab ki khushbu acchi hai.)
Day 118,beginner.,What color is this?,இது என்ன நிறம்? (Idhu enna niram?),यह कौन सा रंग है? (Yeh kaun sa rang hai?)
Day 119,beginner.,It is bright red.,இது அடர் சிவப்பு. (Idhu adar sivappu.),यह गहरा लाल है। (Yeh gehra laal hai.)
Day 119,beginner.,I will put it in the vase.,நான் அதை ஜாடியில் வைப்பேன். (Naan adhai jaadiyil vaippen.),मैं इसे गुलदस्ते में रखूँगा। (Main ise guldaste mein rakhunga.)
Day 119,beginner.,Are you ready to go?,நீங்கள் கிளம்பத் தயாரா? (Neengal kilambath thayaaraa?),क्या आप जाने के लिए तैयार हैं? (Kya aap jaane ke liye taiyar hain?)
Day 119,beginner.,Give me five minutes.,எனக்கு ஐந்து நிமிடம் கொடுங்கள். (Enakku aindhu nimidam kodungal.),मुझे पाँच मिनट दें। (Mujhe paanch minute dein.)
Day 119,beginner.,I am wearing my coat.,நான் என் கோட்டை அணிந்துள்ளேன். (Naan en coat-ai anindhullen.),मैं अपना कोट पहन रहा हूँ। (Main apna coat pehan raha hoon.)
Day 120,beginner.,Where are the keys?,சாவிகள் எங்கே? (Saavigal engay?),चाबियाँ कहाँ हैं? (Chabiyaan kahan hain?)
Day 120,beginner.,Let's leave now.,நாம் இப்போது கிளம்புவோம். (Naam ippodhu kilambuvoam.),चलो अब चलते हैं। (Chalo ab chalte hain.)
Day 120,beginner.,The coffee is too hot.,காபி மிகச் சூடாக இருக்கிறது. (Coffee migach sudaaga irukkiradhu.),कॉफी बहुत गर्म है। (Coffee bahut garm hai.)
Day 120,beginner.,Wait for it to cool.,அது ஆறும் வரை காத்திருங்கள். (Adhu aarum varai kaathirungal.),इसके ठंडा होने का इंतज़ार करें। (Iske thanda hone ka intezaar karen.)
Day 120,beginner.,Do you want sugar?,உங்களுக்கு சர்க்கரை வேண்டுமா? (Ungalukku sarkkarai venduma?),क्या आपको चीनी चाहिए? (Kya aapko cheeni chahiye?)
Day 121,beginner.,Stir it well.,அதை நன்றாகக் கலக்கவும். (Adhai nandraga kalakkavum.),इसे अच्छी तरह मिलाएँ। (Ise acchi tarah milayein.)
Day 121,beginner.,Look at the bird.,அந்தப் பறவையைப் பாருங்கள். (Andhap paravaiyaip paarungal.),उस पक्षी को देखो। (Us pakshi ko dekho.)
Day 121,beginner.,It is on the tree.,அது மரத்தின் மேல் உள்ளது. (Adhu marathin mel ulladhu.),वह पेड़ पर है। (Wah ped par hai.)
Day 121,beginner.,It is singing loudly.,அது சத்தமாகப் பாடுகிறது. (Adhu saththamaagap paadugiradhu.),वह ज़ोर से गा रहा है। (Wah zor se gaa raha hai.)
Day 121,beginner.,Don't scare it.,அதைப் பயமுறுத்தாதீர்கள். (Adhaip payamuruththaadheergal.),उसे डराओ मत। (Use darao mat.)
Day 122,beginner.,It flew away.,அது பறந்து சென்றுவிட்டது. (Adhu parandhu sendruvittadhu.),वह उड़ गया। (Wah ud gaya.)
Day 122,beginner.,Speak a bit louder.,கொஞ்சம் சத்தமாகப் பேசுங்கள். (Konjam saththamaagap pesungal.),थोड़ा ज़ोर से बोलें। (Thoda zor se bolein.)
Day 122,beginner.,I can hear you now.,இப்போது நீங்கள் பேசுவது கேட்கிறது. (Ippodhu neengal pesuvadhu ketkiradhu.),अब मैं आपको सुन सकता हूँ। (Ab main aapko sun sakta hoon.)
Day 122,beginner.,Is the volume okay?,சத்தம் போதுமா? (Saththam podhuma?),क्या आवाज़ ठीक है? (Kya awaaz theek hai?)
Day 122,beginner.,"Yes, it is perfect.","ஆம், அது சரியாக உள்ளது. (Aam, adhu sariyaaga ulladhu.)","हाँ, यह एकदम सही है। (Haan, yeh ekdum sahi hai.)"
Day 123,beginner.,What is in the bag?,பையில் என்ன இருக்கிறது? (Paiyil enna irukkiradhu?),बैग में क्या है? (Bag mein kya hai?)
Day 123,beginner.,These are vegetables.,இவை காய்கறிகள். (Ivai kaaigarigal.),ये सब्जियां हैं। (Ye sabziyan hain.)
Day 123,beginner.,I bought them today.,நான் இன்று அவற்றை வாங்கினேன். (Naan indru avatrai vaanginen.),मैंने इन्हें आज खरीदा है। (Maine inhein aaj khareeda hai.)
Day 123,beginner.,Put them in fridge.,அவற்றை பிரிட்ஜில் வையுங்கள். (Avatrai fridge-il vaiyungal.),उन्हें फ्रिज में रख दो। (Unhein fridge mein rakh do.)
Day 123,beginner.,It is very noisy.,அதிக சத்தமாக இருக்கிறது. (Adhiga saththamaaga irukkiradhu.),बहुत शोर हो रहा है। (Bahut shor ho raha hai.)
Day 124,beginner.,Dust is coming in.,தூசி உள்ளே வருகிறது. (Thoosi ullay varugiradhu.),धूल अंदर आ रही है। (Dhool andar aa rahi hai.)
Day 124,beginner.,Use the curtains.,திரைகளைத் தொங்கவிடுங்கள். (Thiraigalaith thongavidungal.),पर्दों का प्रयोग करें। (Pardon ka prayog karen.)
Day 124,beginner.,Now it is quiet.,இப்போது அமைதியாக உள்ளது. (Ippodhu amaidhiyaaga ulladhu.),अब शांति है। (Ab shaanti hai.)
Day 124,beginner.,Where is my watch?,என் கடிகாரம் எங்கே? (En kadikaaram engay?),मेरी घड़ी कहाँ है? (Meri ghadi kahan hai?)
Day 124,beginner.,It is on the table.,அது மேஜை மேல் உள்ளது. (Adhu mejai mel ulladhu.),वह मेज पर है। (Wah mez par hai.)
Day 125,beginner.,It is not working.,அது வேலை செய்யவில்லை. (Adhu velai seiyavillai.),यह काम नहीं कर रही है। (Yeh kaam nahi kar rahi hai.)
Day 125,beginner.,The cell is dead.,பேட்டரி தீர்ந்துவிட்டது. (Battery theerndhuvittadhu.),सेल खत्म हो गया है। (Cell khatam ho gaya hai.)
Day 125,beginner.,I will repair it.,நான் அதை சரி செய்வேன். (Naan adhai sari seiven.),मैं इसे ठीक करवाऊंगा। (Main ise theek karwaunga.)
Day 125,beginner.,Are you tired?,உங்களுக்கு சோர்வாக இருக்கிறதா? (Ungalukku sorvaaga irukkiradha?),क्या आप थके हुए हैं? (Kya aap thake hue hain?)
Day 125,beginner.,I need some rest.,எனக்கு கொஞ்சம் ஓய்வு தேவை. (Enakku konjam oivu thevai.),मुझे थोड़े आराम की ज़रूरत है। (Mujhe thode aaraam ki zaroorat hai.)
Day 126,beginner.,Drink some juice.,கொஞ்சம் ஜூஸ் குடியுங்கள். (Konjam juice kudiyungal.),थोड़ा जूस पिएं। (Thoda juice piyein.)
Day 126,beginner.,I feel better now.,நான் இப்போது நலமாக உணர்கிறேன். (Naan ippodhu nalamaaga unargiren.),अब मैं बेहतर महसूस कर रहा हूँ। (Ab main behtar mehsoos kar raha hoon.)
Day 126,beginner.,Let's start again.,மீண்டும் தொடங்குவோம். (Meendum thodanguvoam.),चलो फिर से शुरू करते हैं। (Chalo phir se shuru karte hain.)
Day 126,beginner.,Is the food spicy?,உணவு காரமாக இருக்கிறதா? (Unavu kaaramaaga irukkiradha?),क्या खाना तीखा है? (Kya khana teekha hai?)
Day 126,beginner.,It is very tasty.,இது மிகவும் சுவையாக உள்ளது. (Idhu migavum suvaiyaaga ulladhu.),यह बहुत स्वादिष्ट है। (Yeh bahut swadisht hai.)
Day 127,beginner.,Give me more rice.,எனக்கு இன்னும் சாதம் கொடுங்கள். (Enakku innum saadham kodungal.),मुझे और चावल दो। (Mujhe aur chawal do.)
Day 127,beginner.,Do you want curd?,உங்களுக்கு தயிர் வேண்டுமா? (Ungalukku thayir venduma?),क्या आपको दही चाहिए? (Kya aapko dahi chahiye?)
Day 127,beginner.,Where are you?,நீங்கள் எங்கே இருக்கிறீர்கள்? (Neengal engay irukkireergal?),आप कहाँ हैं? (Aap kahan hain?)
Day 127,beginner.,I am in the market.,நான் சந்தையில் இருக்கிறேன். (Naan sandhaiyil irukkiren.),मैं बाजार में हूँ। (Main bazaar mein hoon.)
Day 127,beginner.,Come home soon.,சீக்கிரம் வீட்டுக்கு வாருங்கள். (Seekkiram veettukku vaarungal.),जल्दी घर आओ। (Jaldi ghar aao.)
Day 128,beginner.,I am on the way.,நான் வழியில் இருக்கிறேன். (Naan vazhiyil irukkiren.),मैं रास्ते में हूँ। (Main raaste mein hoon.)
Day 128,beginner.,Close the gate.,கதவை மூடுங்கள். (Kadhavai moodungal.),गेट बंद करो। (Gate band karo.)
Day 128,beginner.,My hair is messy.,என் தலைமுடி கலைந்துவிட்டது. (En thalamudi kalaindhuvittadhu.),मेरे बाल उलझ गए हैं। (Mere baal ulajh gaye hain.)
Day 128,beginner.,Where is the comb?,சீப்பு எங்கே? (Seeppu engay?),कंगा कहाँ है? (Kangha kahan hai?)
Day 128,beginner.,Comb it properly.,அதைச் சரியாகச் சீவுங்கள். (Adhais sariyaagas seevungal.),इसे ठीक से संवारें। (Ise theek se sanwarein.)
Day 129,beginner.,I lost my pen.,நான் என் பேனாவை தொலைத்துவிட்டேன். (Naan en pen-ai tholaithuvitten.),मेरा पेन खो गया है। (Mera pen kho gaya hai.)
Day 129,beginner.,Is it blue or black?,அது நீலமா அல்லது கருப்பா? (Adhu neelama alladhu karuppa?),क्या वह नीला है या काला? (Kya wah neela hai ya kaala?)
Day 129,beginner.,It is a blue pen.,அது ஒரு நீல நிற பேனா. (Adhu oru neela nira pen.),वह एक नीला पेन है। (Wah ek neela pen hai.)
Day 129,beginner.,Check your bag.,உங்கள் பையைச் சரிபார்க்கவும். (Ungal paiyais saripaarkkavum.),अपना बैग चेक करें। (Apna bag check karen.)
Day 129,beginner.,Take my pen.,என் பேனாவை எடுத்துக் கொள்ளுங்கள். (En pen-ai eduththuk kollungal.),मेरा पेन ले लो। (Mera pen le lo.)
Day 130,beginner.,The floor is dirty.,தரை அழுக்காக இருக்கிறது. (Tharai azhukkaaga irukkiradhu.),फर्श गंदा है। (Farsh ganda hai.)
Day 130,beginner.,Please sweep it.,தயவுசெய்து பெருக்கவும். (Thayavuseidhu perukkavum.),कृपया झाड़ू लगाओ। (Kripya jhadu lagao.)
Day 130,beginner.,Use the broom.,துடைப்பத்தைப் பயன்படுத்துங்கள். (Thudaippaththaip payanpaduththungal.),झाड़ू का प्रयोग करें। (Jhadu ka prayog karen.)
Day 130,beginner.,Now it is clean.,இப்போது சுத்தமாக உள்ளது. (Ippodhu suththamaaga ulladhu.),अब यह साफ है। (Ab yeh saaf hai.)
Day 130,beginner.,Keep it dry.,அதை ஈரம் இல்லாமல் வைத்திருங்கள். (Adhai eeram illaamal vaiththirungal.),इसे सूखा रखें। (Ise sookha rakhein.)
Day 131,beginner.,Can you hear that?,உங்களால் அதைக் கேட்க முடிகிறதா? (Ungalaal adhaik ketka mudigiradha?),क्या आप वह सुन सकते हैं? (Kya aap woh sun sakte hain?)
Day 131,beginner.,Someone is calling.,யாரோ அழைக்கிறார்கள். (Yaaro azhaikkiraargal.),कोई बुला रहा है। (Koi bula raha hai.)
Day 131,beginner.,Go and check.,போய் பாருங்கள். (Poi paarungal.),जाकर देखो। (Jaakar dekho.)
Day 131,beginner.,No one is there.,அங்கே யாரும் இல்லை. (Angay yaarum illai.),वहाँ कोई नहीं है। (Wahan koi nahi hai.)
Day 131,beginner.,It was my mistake.,அது என் தவறு. (Adhu en thavaru.),यह मेरी गलती थी। (Yeh meri galti thi.)
Day 132,beginner.,I am reading a story.,நான் ஒரு கதை படிக்கிறேன். (Naan oru kadhai padikkiren.),मैं एक कहानी पढ़ रहा हूँ। (Main ek kahani padh raha hoon.)
Day 132,beginner.,Is it interesting?,அது சுவாரஸ்யமாக இருக்கிறதா? (Adhu suvaarasiyamaaga irukkiradha?),क्या यह दिलचस्प है? (Kya yeh dilchasp hai?)
Day 132,beginner.,It is very funny.,இது மிகவும் வேடிக்கையாக உள்ளது. (Idhu migavum vedikkaiyaaga ulladhu.),यह बहुत मजेदार है। (Yeh bahut mazedaar hai.)
Day 132,beginner.,Read it out loud.,அதை சத்தமாகப் படியுங்கள். (Adhai saththamaagap padiyungal.),इसे ज़ोर से पढ़ो। (Ise zor se padho.)
Day 132,beginner.,Tell me the summary.,எனக்குச் சுருக்கத்தைச் சொல்லுங்கள். (Enakkuch surukkaththaich sollungal.),मुझे सारांश बताओ। (Mujhe saraansh batao.)
Day 133,beginner.,The heater is on.,ஹீட்டர் ஓடிக்கொண்டிருக்கிறது. (Heater odikkondirukkiradhu.),हीटर चालू है। (Heater chaalu hai.)
Day 133,beginner.,Stay inside.,உள்ளேயே இருங்கள். (Ullay-ay irungal.),अंदर ही रहो। (Andar hi raho.)
Day 133,beginner.,Can you explain how this works?,இது எப்படி வேலை செய்கிறது என்று விளக்க முடியுமா? (Idhu eppadi velai seigiradhu endru vilakka mudiyuma?),क्या आप समझा सकते हैं कि यह कैसे काम करता है? (Kya aap samjha sakte hain ki yeh kaise kaam karta hai?)
Day 133,beginner.,What time does the flight arrive?,விமானம் எத்தனை மணிக்கு வரும்? (Vimaanam ethanai manikku varum?),फ्लाइट कितने बजे आती है? (Flight kitne baje aati hai?)
Day 133,beginner.,I have been waiting for an hour.,நான் ஒரு மணி நேரமாக காத்துக் கொண்டிருக்கிறேன். (Naan oru mani neramaaga kaathuk kondirukkiren.),मैं एक घंटे से इंतज़ार कर रहा हूँ। (Main ek ghante se intezar kar raha hoon.)
Day 134,beginner.,Could you give me a hand with this?,இதற்கு எனக்கு கொஞ்சம் உதவ முடியுமா? (Idharkku enakku konjam udhava mudiyuma?),क्या आप इसमें मेरी मदद कर सकते हैं? (Kya aap ismein meri madad kar sakte hain?)
Day 134,beginner.,Is it possible to change the date?,தேதியை மாற்ற முடியுமா? (Thedhiyai maattra mudiyuma?),क्या तारीख बदलना संभव है? (Kya tareekh badalna sambhav hai?)
Day 134,beginner.,I would like to make a reservation.,நான் ஒரு முன்பதிவு செய்ய விரும்புகிறேன். (Naan oru munbadhivu seyya virumbugiren.),मैं एक आरक्षण (रिजर्वेशन) करना चाहता हूँ। (Main ek arakshan karna chahta hoon.)
Day 134,beginner.,What is the best way to get there?,அங்கு செல்ல சிறந்த வழி எது? (Angu sella sirandha vazhi edhu?),वहाँ पहुँचने का सबसे अच्छा तरीका क्या है? (Wahan pahunchne ka sabse accha tareeka kya hai?)
Day 134,beginner.,I forgot what I was going to say.,நான் என்ன சொல்ல வந்தேன் என்று மறந்துவிட்டேன். (Naan enna solla vandhen endru marandhuvitten.),मैं भूल गया कि मैं क्या कहने वाला था। (Main bhool gaya ki main kya kehne wala tha.)
Day 135,beginner.,Have you ever been to this place?,நீங்கள் எப்போதாவது இந்த இடத்திற்கு வந்திருக்கிறீர்களா? (Neengal eppodhavadhu indha idathirkku vandhirukkireergalla?),क्या आप कभी इस जगह पर आए हैं? (Kya aap kabhi is jagah par aaye hain?)
Day 135,beginner.,I will let you know by tomorrow.,நாளைக்குள் உங்களுக்குத் தெரியப்படுத்துகிறேன். (Naalaikkul ungalukkuth theriyappaduthugiren.),मैं आपको कल तक बता दूँगा। (Main aapko kal tak bata doonga.)
Day 135,beginner.,Do you mind if I sit here?,நான் இங்கே உட்கார்ந்தால் உங்களுக்கு ஆட்சேபனை உண்டா? (Naan inge utkaarndhaal ungalukku aatchebanai undaa?),अगर मैं यहाँ बैठूँ तो आपको कोई आपत्ति तो नहीं? (Agar main yahan baithoon toh aapko koi aapatti toh nahi?)
Day 135,beginner.,It depends on the weather.,அது வானிலையைப் பொறுத்தது. (Adhu vaanilaiyaip poruthadhu.),यह मौसम पर निर्भर करता है। (Yeh mausam par nirbhar karta hai.)
Day 135,beginner.,Could you speak a little louder?,கொஞ்சம் சத்தமாகப் பேச முடியுமா? (Konjam sathamaagap pesa mudiyuma?),क्या आप थोड़ा ज़ोर से बोल सकते हैं? (Kya aap thoda zor se bol sakte hain?)
Day 136,beginner.,I am looking for a specific book.,நான் ஒரு குறிப்பிட்ட புத்தகத்தைத் தேடுகிறேன். (Naan oru kurippitta puthagathaith thedugiren.),मैं एक खास किताब ढूँढ रहा हूँ। (Main ek khaas kitaab dhoondh raha hoon.)
Day 136,beginner.,How long does the battery last?,பேட்டரி எவ்வளவு நேரம் வரும்? (Battery evvalavu neram varum?),बैटरी कितने समय तक चलती है? (Battery kitne samay tak chalti hai?)
Day 136,beginner.,I need to charge my laptop.,நான் எனது லேப்டாப்பை சார்ஜ் செய்ய வேண்டும். (Naan enadhu laptoppai charge seyya vendum.),मुझे अपना लैपटॉप चार्ज करना है। (Mujhe apna laptop charge karna hai.)
Day 136,beginner.,What do you recommend for dinner?,இரவு உணவிற்கு நீங்கள் எதைப் பரிந்துரைக்கிறீர்கள்? (Iravu unavirkku neengal edhaip parindhuraikkireergall?),आप रात के खाने के लिए क्या सुझाव देंगे? (Aap raat ke khane ke liye kya sujhaav denge?)
Day 136,beginner.,I am sorry for the inconvenience.,சிரமத்திற்கு மன்னிக்கவும். (Siramathirkku mannikkavum.),असुविधा के लिए मुझे खेद है। (Asuvidha ke liye mujhe khed hai.)
Day 137,beginner.,Can I have a look at that?,நான் அதை ஒருமுறை பார்க்கலாமா? (Naan adhai orumurai paarkkalaama?),क्या मैं उसे एक बार देख सकता हूँ? (Kya main use ek baar dekh sakta hoon?)
Day 137,beginner.,It is much better than before.,இது முன்பை விட மிகச் சிறந்தது. (Idhu munbai vida migach sirandhadhu.),यह पहले से काफी बेहतर है। (Yeh pehle se kaafi behtar hai.)
Day 137,beginner.,I will try to finish it on time.,நான் அதை சரியான நேரத்தில் முடிக்க முயற்சிப்பேன். (Naan adhai sariyaana nerathil mudikka muyarchippen.),मैं इसे समय पर पूरा करने की कोशिश करूँगा। (Main ise samay par poora karne ki koshish karoonga.)
