English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Moderate / Moderated / Moderated,Day 302,Intermediate,மிதப்படுத்து / மிதப்படுத்தினேன் / மிதப்படுத்தியுள்ளேன்,संयमित करना / संयमित किया / संयमित कर चुका,1. Moderate the debate. // 2. He moderated. // 3. It was moderated.,1. நெறிப்படுத்து. // 2. அவர் நெறிப்படுத்தினார். // 3. அது நெறிப்படுத்தப்பட்டது.,1. संचालन करना। // 2. उसने संचालन किया। // 3. इसका संचालन किया गया।
Monitor / Monitored / Monitored,Day 303,Intermediate,கண்காணி / கண்காணித்தேன் / கண்காணித்துள்ளேன்,निगरानी करना / निगरानी की / निगरानी कर चुका,1. Monitor the class. // 2. He monitored. // 3. I am monitored.,1. கண்காணி. // 2. அவர் கண்காணித்தார். // 3. நான் கண்காணிக்கப்பட்டேன்.,1. निगरानी करना। // 2. उसने निगरानी की। // 3. मेरी निगरानी की गई।
Motivate / Motivated / Motivated,Day 304,Intermediate,ஊக்கப்படுத்து / ஊக்கப்படுத்தினேன் / ஊக்கப்படுத்தியுள்ளேன்,प्रेरित करना / प्रेरित किया / प्रेरित कर चुका,1. Motivate the kids. // 2. It motivated me. // 3. I am motivated.,1. ஊக்கப்படுத்து. // 2. அது என்னைத் தூண்டியது. // 3. நான் ஊக்கமடைந்தேன்.,1. प्रेरित करना। // 2. इसने मुझे प्रेरित किया। // 3. मैं प्रेरित हूँ।
Mourn / Mourned / Mourned,Day 305,Intermediate,துக்கம் கொண்டாடு / கொண்டாடினேன் / கொண்டாடினேன்,शोक मनाना / शोक मनाया / शोक मना चुका,1. Mourn the dead. // 2. They mourned. // 3. We have mourned.,1. துக்கம் அனுசரி. // 2. அவர்கள் துக்கமடைந்தனர். // 3. நாங்கள் வருந்தினோம்.,1. शोक मनाना। // 2. उन्होंने शोक मनाया। // 3. हमने शोक मनाया है।
Mumble / Mumbled / Mumbled,Day 306,Intermediate,முணுமுணு / முணுமுணுத்தேன் / முணுமுணுத்துள்ளேன்,बुदबुदाना / बुदबुदाया / बुदबुदा चुका,1. Don't mumble. // 2. He mumbled. // 3. I have mumbled.,1. முணுமுணு. // 2. அவர் முணுமுணுத்தார். // 3. நான் முணுமுணுத்தேன்.,1. बड़बड़ाना। // 2. वह बड़बड़ाया। // 3. मैंने बड़बड़ाया है।
Navigate / Navigated / Navigated,Day 307,Intermediate,வழிநடத்து / வழிநடத்தினேன் / வழிநடத்தியுள்ளேன்,रास्ता खोजना / खोजा / खोज चुका,1. Navigate the sea. // 2. He navigated. // 3. It was navigated.,1. வழிகாட்டிச் செல். // 2. அவர் வழிநடத்தினார். // 3. அது கடக்கப்பட்டது.,1. मार्गदर्शन/नेविगेट करना। // 2. उसने रास्ता दिखाया। // 3. इसे नेविगेट किया गया।
Necessitate / Necessitated / Necessitated,Day 308,Intermediate,அவசியமாக்கு / அவசியமாக்கினேன் / அவசியமாக்கியுள்ளேன்,आवश्यक बनाना / बनाया / बना चुका,1. Circumstances necessitate. // 2. It necessitated. // 3. It has necessitated.,1. அவசியமாக்கு. // 2. அது அவசியமானது. // 3. அது அவசியமாகியுள்ளது.,1. आवश्यक बनाना। // 2. इसने मजबूर किया। // 3. इसकी आवश्यकता पड़ी है।
Neutralize / Neutralized / Neutralized,Day 309,Intermediate,நடுநிலையாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,बेअसर करना / बेअसर किया / बेअसर कर चुका,1. Neutralize threat. // 2. They neutralized. // 3. It is neutralized.,1. செயலிழக்கச் செய். // 2. அவர்கள் செயலிழக்கச் செய்தனர். // 3. அது செயலிழக்கப்பட்டது.,1. निष्प्रभावी करना। // 2. उन्होंने इसे खत्म किया। // 3. इसे निष्प्रभावी किया गया।
Nibble / Nibbled / Nibbled,Day 310,Intermediate,சிறுகக் கறி / கறித்தேன் / கறித்துள்ளேன்,कुतरना / कुतरा / कुतर चुका,1. Nibble the biscuit. // 2. He nibbled. // 3. It was nibbled.,1. சிறுகக் கடி (கொறி). // 2. அவர் கொறித்தார். // 3. அது கொறிக்கப்பட்டது.,1. कुतरना। // 2. उसने कुतरा। // 3. इसे कुतरा गया था।
Nourish / Nourished / Nourished,Day 311,Intermediate,ஊட்டமளி / ஊட்டமளித்தேன் / ஊட்டமளித்துள்ளேன்,पोषण देना / पोषण दिया / पोषण दे चुका,1. Nourish the body. // 2. It nourished. // 3. Well nourished.,1. ஊட்டமளி. // 2. அது ஊட்டமளித்தது. // 3. நல்ல ஊட்டச்சத்து பெற்றது.,1. पोषण देना। // 2. इसने पोषण दिया। // 3. अच्छी तरह पोषित।
Oblige / Obliged / Obliged,Day 312,Intermediate,கடமைப்படுத்து / கடமைப்படுத்தினேன் / கடமைப்படுத்தியுள்ளேன்,बाध्य करना / बाध्य किया / बाध्य कर चुका,1. Oblige him. // 2. He obliged me. // 3. I am obliged.,1. கடமைப்படுத்து/உதவு. // 2. அவர் எனக்கு உதவினார். // 3. நான் கடமைப்பட்டுள்ளேன்.,1. आभारी करना/मजबूर। // 2. उसने मुझ पर एहसान किया। // 3. मैं आभारी हूँ।
Obscure / Obscured / Obscured,Day 313,Intermediate,மறை / மறைத்தேன் / மறைத்துள்ளேன்,अस्पष्ट करना / अस्पष्ट किया / अस्पष्ट कर चुका,1. Clouds obscure sun. // 2. It obscured. // 3. Truth is obscured.,1. மறை (மங்கலாக்கு). // 2. அது மறைத்தது. // 3. உண்மை மறைக்கப்பட்டுள்ளது.,1. धुंधला करना। // 2. इसने छिपा दिया। // 3. सच छिपा हुआ है।
Obsess / Obsessed / Obsessed,Day 314,Intermediate,ஆட்கொள் (மனதை) / ஆட்கொண்டேன் / ஆட்கொண்டுள்ளேன்,धुन सवार होना / सवार हुई / सवार हो चुकी,1. Don't obsess. // 2. He obsessed. // 3. She is obsessed.,1. பித்துப் பிடி. // 2. அவர் வெறித்தனமாக இருந்தார். // 3. அவள் வெறி கொண்டுள்ளாள்.,1. जुनून होना। // 2. वह पागल था। // 3. वह जुनून सवार है।
Obstruct / Obstructed / Obstructed,Day 315,Intermediate,தடையை ஏற்படுத்து / ஏற்படுத்தினேன் / ஏற்படுத்தியுள்ளேன்,बाधा डालना / बाधा डाली / बाधा डाल चुका,1. Don't obstruct. // 2. They obstructed. // 3. Path is obstructed.,1. தடை செய். // 2. அவர்கள் தடுத்தனர். // 3. பாதை தடுக்கப்பட்டுள்ளது.,1. बाधा डालना। // 2. उन्होंने रोका। // 3. रास्ता बाधित है।
Officiate / Officiated / Officiated,Day 316,Intermediate,தலைமை தாங்கு / தாங்கினேன் / தாங்கியுள்ளேன்,अध्यक्षता करना / अध्यक्षता की / अध्यक्षता कर चुका,1. Officiate the game. // 2. He officiated. // 3. It was officiated.,1. அதிகாரம் செலுத்து (நடத்து). // 2. அவர் நடத்தினார். // 3. அது நடத்தப்பட்டது.,1. पद संभालना/संचालन। // 2. उसने संचालन किया। // 3. इसका संचालन किया गया।
Ooze / Oozed / Oozed,Day 317,Intermediate,கசி / கசிந்தது / கசிந்துள்ளது,रिसना / रिसा / रिस चुका,1. Oil will ooze. // 2. It oozed out. // 3. It has oozed.,1. கசி. // 2. அது கசிந்தது. // 3. அது கசிந்துள்ளது.,1. रिसना। // 2. वह रिसने लगा। // 3. यह रिस चुका है।
Oppress / Oppressed / Oppressed,Day 318,Intermediate,ஒடுக்கு / ஒடுக்கினேன் / ஒடுக்கியுள்ளேன்,उत्पीड़न करना / उत्पीड़न किया / उत्पीड़न कर चुका,1. Don't oppress. // 2. They oppressed. // 3. He was oppressed.,1. ஒடுக்கு (கொடுமைப்படுத்து). // 2. அவர்கள் ஒடுக்கினர். // 3. அவர் ஒடுக்கப்பட்டார்.,1. अत्याचार करना। // 2. उन्होंने दमन किया। // 3. उसका दमन किया गया।
Opt / Opted / Opted,Day 319,Intermediate,தேர்வு செய் / செய்தேன் / செய்துள்ளேன்,चुनना (विकल्प) / चुना / चुन चुका,1. Opt for art. // 2. He opted out. // 3. We have opted.,1. தேர்ந்தெடு. // 2. அவர் விலகினார். // 3. நாங்கள் தேர்ந்தெடுத்தோம்.,1. चुनना। // 2. उसने बाहर निकलना चुना। // 3. हमने चुना है।
Optimize / Optimized / Optimized,Day 320,Intermediate,மேம்படுத்து / மேம்படுத்தினேன் / மேம்படுத்தியுள்ளேன்,अनुकूलित करना / अनुकूलित किया / अनुकूलित कर चुका,1. Optimize code. // 2. He optimized it. // 3. It is optimized.,1. உகந்ததாக்கு. // 2. அவர் மேம்படுத்தினார். // 3. அது மேம்படுத்தப்பட்டது.,1. अनुकूलतम बनाना। // 2. उसने सुधार किया। // 3. इसे अनुकूलित किया गया है।
Orbit / Orbited / Orbited,Day 321,Intermediate,வலம் வா / வந்தேன் / வந்துள்ளேன்,परिक्रमा करना / परिक्रमा की / परिक्रमा कर चुका,1. Earth will orbit. // 2. It orbited. // 3. Moon has orbited.,1. வட்டமிடு. // 2. அது வட்டமிட்டது. // 3. நிலவு சுற்றியுள்ளது.,1. परिक्रमा करना। // 2. इसने परिक्रमा की। // 3. परिक्रमा की जा चुकी है।
Orient / Oriented / Oriented,Day 322,Intermediate,திசை காட்டு / காட்டினேன் / காட்டியுள்ளேன்,उन्मुख करना / उन्मुख किया / उन्मुख कर चुका,1. Orient yourself. // 2. He oriented. // 3. It is oriented.,1. பழக்கப்படுத்து (திசை). // 2. அவர் பழக்கப்படுத்தினார். // 3. அது திசைப்படுத்தப்பட்டது.,1. अनुकूल बनाना। // 2. उसने दिशा तय की। // 3. यह दिशा निर्देशित है।
Originate / Originated / Originated,Day 323,Intermediate,தோன்று / தோன்றியது / தோன்றியுள்ளது,उत्पन्न होना / उत्पन्न हुआ / उत्पन्न हो चुका,1. Ideas originate. // 2. It originated. // 3. It has originated.,1. உருவாவாதல். // 2. அது உருவானது. // 3. அது உருவாகியுள்ளது.,1. उत्पन्न होना। // 2. यह शुरू हुआ। // 3. यह उत्पन्न हुआ है।
Outdo / Outdid / Outdone,Day 324,Intermediate,விஞ்சு / விஞ்சினேன் / விஞ்சியுள்ளேன்,मात देना / मात दी / मात दे चुका,1. Outdo others. // 2. He outdid me. // 3. I have outdone.,1. மிஞ்சு (வெற்றி கொள்). // 2. அவர் என்னை மிஞ்சினார். // 3. நான் மிஞ்சினேன்.,1. मात देना। // 2. उसने मुझे पीछे छोड़ दिया। // 3. मैंने मात दी है।
Outgrow / Outgrew / Outgrown,Day 325,Intermediate,வளர்ந்து மாறு / மாறினேன் / மாறியுள்ளேன்,से बड़ा होना / बड़ा हुआ / बड़ा हो चुका,1. Outgrow shoes. // 2. He outgrew it. // 3. Plan has outgrown.,1. வளர்ந்து மிஞ்சு. // 2. அவர் அதிலிருந்து வளர்ந்தார். // 3. திட்டம் விரிவடைந்துள்ளது.,1. बढ़कर बड़ा हो जाना। // 2. वह उससे बड़ा हो गया। // 3. यह बढ़ चुका है।
Outlast / Outlasted / Outlasted,Day 326,Intermediate,நீடித்து இரு / இருந்தேன் / இருந்துள்ளேன்,अधिक टिकना / टिका / टिक चुका,1. It will outlast. // 2. He outlasted. // 3. It has outlasted.,1. அதிக காலம் நீடி. // 2. அவர் அதிக காலம் இருந்தார். // 3. அது நீடித்துள்ளது.,1. अधिक समय तक टिकना। // 2. वह ज्यादा समय तक टिका। // 3. यह अधिक समय तक टिका है।
Outlive / Outlived / Outlived,Day 327,Intermediate,நீண்ட காலம் வாழ் / வாழ்ந்தேன் / வாழ்ந்துள்ளேன்,अधिक जीना / जिया / जी चुका,1. Outlive peers. // 2. He outlived them. // 3. She has outlived.,1. அதிக காலம் வாழ். // 2. அவர் அவர்களை விட அதிக காலம் வாழ்ந்தார். // 3. அவள் வாழ்ந்துவிட்டாள்.,1. अधिक समय तक जीवित रहना। // 2. वह उनसे ज्यादा जिया। // 3. वह ज्यादा समय जी है।
Outperform / Outperformed / Outperformed,Day 328,Intermediate,சிறப்பாகச் செயல்படு / செயல்பட்டேன் / செயல்பட்டுள்ளேன்,बेहतर प्रदर्शन करना / किया / कर चुका,1. Outperform team. // 2. He outperformed. // 3. I am outperformed.,1. சிறப்பாகச் செயல்படு. // 2. அவர் சிறப்பாகச் செய்தார். // 3. நான் பின்னுக்குத் தள்ளப்பட்டேன்.,1. बेहतर प्रदर्शन करना। // 2. उसने बेहतर किया। // 3. बेहतर प्रदर्शन किया गया।
Outsmart / Outsmarted / Outsmarted,Day 329,Intermediate,புத்திசாலித்தனத்தால் வெல் / வென்றேன் / வென்றுள்ளேன்,चालाकी से हराना / हराया / हरा चुका,1. Outsmart him. // 2. He outsmarted me. // 3. I was outsmarted.,1. தந்திரத்தால் வெல். // 2. அவர் என்னை ஏமாற்றினார். // 3. நான் ஏமாற்றப்பட்டேன்.,1. चतुराई में मात देना। // 2. उसने मुझे मात दी। // 3. मुझे मात दी गई।
Outweigh / Outweighed / Outweighed,Day 330,Intermediate,விட அதிகமாயிரு / இருந்தது / இருந்துள்ளது,भारी पड़ना / भारी पड़ा / भारी पड़ चुका,1. Risks outweigh. // 2. It outweighed. // 3. Benefit is outweighed.,1. மிஞ்சி இரு (எடை/மதிப்பு). // 2. அது மிஞ்சியது. // 3. நன்மை மிஞ்சப்பட்டது.,1. अधिक महत्वपूर्ण होना। // 2. यह भारी पड़ा। // 3. यह अधिक भारी है।
Overcharge / Overcharged / Overcharged,Day 331,Intermediate,அதிக கட்டணம் வசூலி / வசூலித்தேன் / வசூலித்துள்ளேன்,अधिक दाम लगाना / लगाया / लगा चुका,1. Don't overcharge. // 2. They overcharged. // 3. I was overcharged.,1. கூடுதல் கட்டணம் வசூலி. // 2. அவர்கள் அதிகம் வசூலித்தனர். // 3. என்னிடம் அதிகம் வசூலிக்கப்பட்டது.,1. अधिक दाम लगाना। // 2. उन्होंने ज्यादा पैसे लिए। // 3. मुझसे ज्यादा पैसे लिए गए।
Overcrowd / Overcrowded / Overcrowded,Day 332,Intermediate,நெரிசலாக்கு / நெரிசலாக்கினேன் / நெரிசலாக்கியுள்ளேன்,भीड़ लगाना / भीड़ लगाई / भीड़ लगा चुका,1. Don't overcrowd. // 2. They overcrowded. // 3. It is overcrowded.,1. நெரிசலாக்கு. // 2. அவர்கள் கூட்டத்தை கூட்டினர். // 3. அது நெரிசலாக உள்ளது.,1. अधिक भीड़ करना। // 2. उन्होंने भीड़ बढ़ा दी। // 3. यहाँ बहुत भीड़ है।
Overdo / Overdid / Overdone,Day 333,Intermediate,அளவுக்கு மீறி செய் / செய்தேன் / செய்துள்ளேன்,अति करना / अति की / अति कर चुका,1. Don't overdo it. // 2. He overdid it. // 3. It is overdone.,1. அதிகப்படியாகச் செய். // 2. அவர் அதிகமாகச் செய்தார். // 3. அது மிதமிஞ்சியது.,1. अति करना। // 2. उसने ज्यादा कर दिया। // 3. यह बहुत ज्यादा हो गया।
Overeat / Overate / Overeaten,Day 334,Intermediate,அதிகமாக உண் / உண்டேன் / உண்டுள்ளேன்,ज्यादा खाना / खाया / खा चुका,1. Don't overeat. // 2. He overate. // 3. I have overeaten.,1. அதிகமாக உண். // 2. அவர் அதிகமாக உண்டார். // 3. நான் அதிகமாக உண்டுவிட்டேன்.,1. अधिक खाना। // 2. उसने ज्यादा खा लिया। // 3. मैंने ज्यादा खा लिया है।
Overflow / Overflowed / Overflowed,Day 335,Intermediate,நிரம்பி வழி / வழிந்தது / வழிந்துள்ளது,बह निकलना / बह निकला / बह निकल चुका,1. Rivers overflow. // 2. It overflowed. // 3. It has overflowed.,1. வழிந்தோடிப் பாய். // 2. அது வழிந்தது. // 3. அது வழிந்துள்ளது.,1. उमड़ना/बह निकलना। // 2. यह बह निकला। // 3. यह भर कर बह चुका है।
Overhear / Overheard / Overheard,Day 336,Intermediate,ஒட்டுக் கேள் / கேட்டேன் / கேட்டுள்ளேன்,संयोग से सुनना / सुना / सुन चुका,1. Overhear secret. // 2. I overheard. // 3. It was overheard.,1. ஒட்டுக்கேள். // 2. நான் ஒட்டுக்கேட்டேன். // 3. அது ஒட்டுக்கேட்கப்பட்டது.,1. चुपके से सुनना। // 2. मैंने सुन लिया। // 3. यह सुन लिया गया था।
Overload / Overloaded / Overloaded,Day 337,Intermediate,அதிக சுமை ஏற்று / ஏற்றினேன் / ஏற்றியுள்ளேன்,अधिक लादना / लादा / लाद चुका,1. Don't overload. // 2. He overloaded. // 3. It is overloaded.,1. அதிக பாரம் ஏற்று. // 2. அவர் அதிக பாரம் ஏற்றினார். // 3. அது பாரம் மிஞ்சியுள்ளது.,1. अधिक लादना। // 2. उसने ज्यादा लाद दिया। // 3. यह ओवरलोडेड है।
Overlook / Overlooked / Overlooked,Day 338,Intermediate,கவனிக்கத் தவறு / தவறினேன் / தவறியுள்ளேன்,अनदेखी करना / अनदेखी की / अनदेखी कर चुका,1. Overlook error. // 2. He overlooked it. // 3. I was overlooked.,1. கவனிக்காமல் விடு. // 2. அவர் அதைத் தவறவிட்டார். // 3. நான் புறக்கணிக்கப்பட்டேன்.,1. अनदेखा करना। // 2. उसने नजरअंदाज किया। // 3. मुझे नजरअंदाज किया गया।
Overpower / Overpowered / Overpowered,Day 339,Intermediate,அடக்கு / அடக்கினேன் / அடக்கியுள்ளேன்,काबू में करना / किया / कर चुका,1. Overpower enemy. // 2. They overpowered. // 3. He was overpowered.,1. அடக்கு (வல்லமை). // 2. அவர்கள் அடக்கினர். // 3. அவர் அடக்கப்பட்டார்.,1. वश में करना/हराना। // 2. उन्होंने हरा दिया। // 3. उसे वश में किया गया।
Overreact / Overreacted / Overreacted,Day 340,Intermediate,மிகையாக எதிர்வினையாற்று / ஆற்றினேன் / ஆற்றியுள்ளேன்,अतिप्रतिक्रिया देना / दी / दे चुका,1. Don't overreact. // 2. He overreacted. // 3. I have overreacted.,1. மிதமிஞ்சி எதிர்வினை செய். // 2. அவர் பதற்றமடைந்தார். // 3. நான் அதிகமாக உணர்ச்சிவசப்பட்டேன்.,1. अति-प्रतिक्रिया करना। // 2. उसने ज्यादा गुस्सा किया। // 3. मैंने अति-प्रतिक्रिया दी है।
Overrule / Overruled / Overruled,Day 341,Intermediate,ரத்து செய் (ஆணையை) / செய்தேன் / செய்துள்ளேன்,खारिज करना / खारिज किया / खारिज कर चुका,1. Overrule plan. // 2. Judge overruled. // 3. Decision is overruled.,1. தள்ளுபடி செய் (மறு). // 2. நீதிபதி மறுத்தார். // 3. முடிவு ரத்து செய்யப்பட்டது.,1. रद्द करना/अस्वीकार। // 2. जज ने खारिज कर दिया। // 3. फैसला रद्द कर दिया गया।
Oversee / Oversaw / Overseen,Day 342,Intermediate,மேற்பார்வை செய் / செய்தேன் / செய்துள்ளேன்,देखरेख करना / देखरेख की / देखरेख कर चुका,1. Oversee work. // 2. He oversaw it. // 3. It is overseen.,1. மேற்பார்வையிடு. // 2. அவர் மேற்பார்வையிட்டார். // 3. அது மேற்பார்வையிடப்படுகிறது.,1. निगरानी/निरीक्षण। // 2. उसने निरीक्षण किया। // 3. इसका निरीक्षण किया गया।
Oversleep / Overslept / Overslept,Day 343,Intermediate,அதிக நேரம் தூங்கு / தூங்கினேன் / தூங்கியுள்ளேன்,देर तक सोना / सोया / सो चुका,1. Don't oversleep. // 2. He overslept. // 3. I have overslept.,1. அதிக நேரம் தூங்கு. // 2. அவர் தூங்கிவிட்டார் (நேரம் கடந்து). // 3. நான் தூங்கிவிட்டேன்.,1. देर तक सोना। // 2. वह सोता रह गया। // 3. मैं सोता रह गया।
Overthrow / Overthrew / Overthrown,Day 344,Intermediate,கவிழ்த்துவிடு (அரசை) / விட்டேன் / விட்டுள்ளேன்,उखाड़ फेंकना / उखाड़ फेंका / उखाड़ फेंक चुका,1. Overthrow king. // 2. They overthrew. // 3. He was overthrown.,1. வீழ்த்து (பதவி). // 2. அவர்கள் வீழ்த்தினர். // 3. அவர் வீழ்த்தப்பட்டார்.,1. तख्तापलट/गिराना। // 2. उन्होंने गिरा दिया। // 3. उसे गिरा दिया गया।
Overturn / Overturned / Overturned,Day 345,Intermediate,கவிழ் / கவிழ்ந்தது / கவிழ்ந்துள்ளது,पलटना / पलटा / पलट चुका,1. Overturn car. // 2. It overturned. // 3. Verdict is overturned.,1. கவிழ்த்து விடு. // 2. அது கவிழ்ந்தது. // 3. தீர்ப்பு மாற்றப்பட்டது.,1. पलट देना। // 2. वह पलट गई। // 3. फैसला पलट दिया गया।
Overwhelm / Overwhelmed / Overwhelmed,Day 346,Intermediate,திக்குமுக்காடச் செய் / செய்தேன் / செய்துள்ளேன்,हावी होना / हावी हुआ / हावी हो चुका,1. Emotions overwhelm. // 2. It overwhelmed me. // 3. I am overwhelmed.,1. திக்குமுக்காடச் செய். // 2. அது என்னை நெகிழச் செய்தது. // 3. நான் நெகிழ்ந்துவிட்டேன்.,1. अभिभूत करना। // 2. इसने मुझे भावुक कर दिया। // 3. मैं अभिभूत हूँ।
Pacify / Pacified / Pacified,Day 347,Intermediate,அமைதிப்படுத்து / அமைதிப்படுத்தினேன் / அமைதிப்படுத்தியுள்ளேன்,शांत करना / शांत किया / शांत कर चुका,1. Pacify the baby. // 2. He pacified them. // 3. Crowds were pacified.,1. அமைதிப்படுத்து. // 2. அவர் அமைதிப்படுத்தினார். // 3. கூட்டம் அமைதியானது.,1. शांत करना। // 2. उसने उन्हें शांत किया। // 3. भीड़ को शांत किया गया।
Paddle / Paddled / Paddled,Day 348,Intermediate,துடுப்பு போடு / போட்டேன் / போட்டுள்ளேன்,चप्पू चलाना / चलाया / चला चुका,1. Paddle the boat. // 2. He paddled. // 3. We have paddled.,1. துடுப்புப் போடு. // 2. அவர் துடுப்புப் போட்டார். // 3. நாங்கள் துடுப்புப் போட்டோம்.,1. चप्पू चलाना। // 2. उसने चप्पू चलाया। // 3. हमने नाव चलाई है।
Pamper / Pampered / Pampered,Day 349,Intermediate,செல்லம் கொடு / கொடுத்தேன் / கொடுத்துள்ளேன்,लाड़-प्यार करना / किया / कर चुका,1. Pamper the child. // 2. She pampered him. // 3. He is pampered.,1. செல்லம் கொடு. // 2. அவள் செல்லம் கொடுத்தாள். // 3. அவர் செல்லமாக வளர்க்கப்பட்டார்.,1. लाड-प्यार करना। // 2. उसने उसे लाड किया। // 3. वह लाडला है।
Paralyze / Paralyzed / Paralyzed,Day 350,Intermediate,முடக்கு / முடக்கினேன் / முடக்கியுள்ளேன்,लकवा मारना / मारा / मार चुका,1. Fear can paralyze. // 2. It paralyzed him. // 3. He is paralyzed.,1. முடக்கு. // 2. அது அவரை முடக்கியது. // 3. அவர் முடங்கிவிட்டார்.,1. लकवा मारना/ठप। // 2. इसने उसे सुन्न कर दिया। // 3. वह लकवाग्रस्त है।
Partake / Partook / Partaken,Day 351,Intermediate,பங்கு கொள் / கொண்டேன் / கொண்டுள்ளேன்,भाग लेना / भाग लिया / भाग ले चुका,1. Partake in feast. // 2. He partook. // 3. We have partaken.,1. பங்கெடு (உண்). // 2. அவர் பங்கெடுத்தார். // 3. நாங்கள் உண்டோம்.,1. भाग लेना/खाना। // 2. उसने हिस्सा लिया। // 3. हमने हिस्सा लिया है।
Partition / Partitioned / Partitioned,Day 352,Intermediate,பிரிவினை செய் / செய்தேன் / செய்துள்ளேன்,विभाजन करना / विभाजन किया / विभाजन कर चुका,1. Partition the room. // 2. They partitioned. // 3. It is partitioned.,1. பிரிவினை செய். // 2. அவர்கள் பிரித்தனர். // 3. அது பிரிக்கப்பட்டது.,1. बँवारा करना। // 2. उन्होंने बँवारा किया। // 3. इसका बँवारा किया गया है।
Partner / Partnered / Partnered,Day 353,Intermediate,கூட்டு சேர் / சேர்ந்தேன் / சேர்ந்துள்ளேன்,साझेदारी करना / साझेदारी की / साझेदारी कर चुका,1. Partner with them. // 2. He partnered. // 3. We have partnered.,1. கூட்டாளியாக இரு. // 2. அவர் இணைந்தார். // 3. நாங்கள் இணைந்தோம்.,1. साझीदार बनना। // 2. उसने साझेदारी की। // 3. हमने साझेदारी की है।
Patronize / Patronized / Patronized,Day 354,Intermediate,ஆதரவு அளி / அளித்தேன் / அளித்துள்ளேன்,संरक्षण देना / संरक्षण दिया / संरक्षण दे चुका,1. Don't patronize me. // 2. He patronized. // 3. It was patronized.,1. ஆதரி (ஏளனமாக). // 2. அவர் ஆதரித்தார். // 3. அது ஆதரிக்கப்பட்டது.,1. संरक्षण देना। // 2. उसने संरक्षण दिया। // 3. इसे संरक्षण दिया गया।
Pave / Paved / Paved,Day 355,Intermediate,தளம் அமை / அமைத்தேன் / அமைத்துள்ளேன்,मार्ग बनाना / बनाया / बना चुका,1. Pave the way. // 2. He paved the road. // 3. It is paved.,1. வழி வகு (தரை போடு). // 2. அவர் சாலை அமைத்தார். // 3. அது அமைக்கப்பட்டது.,1. रास्ता बनाना/पक्का करना। // 2. उसने सड़क पक्की की। // 3. सड़क पक्की है।
Peek / Peeked / Peeked,Day 356,Intermediate,எட்டிப்பார் / எட்டிப்பார்த்தேன் / எட்டிப்பார்த்துள்ளேன்,ताकना / ताका / ताक चुका,1. Peek inside. // 2. He peeked. // 3. I have peeked.,1. எட்டிப் பார். // 2. அவர் எட்டிப் பார்த்தார். // 3. நான் எட்டிப் பார்த்தேன்.,1. झाँकना। // 2. उसने झाँका। // 3. मैंने झाँका है।
Peep / Peeped / Peeped,Day 357,Intermediate,துவாரத்தின் வழி பார் / பார்த்தேன் / பார்த்துள்ளேன்,झांकना / झांका / झांक चुका,1. Peep through hole. // 2. He peeped. // 3. Birds have peeped.,1. ஒளிந்து பார் (ஒலி). // 2. அவர் பார்த்தார். // 3. பறவைகள் சத்தமிட்டன.,1. ताक-झाँक करना। // 2. उसने झाँका। // 3. पक्षियों ने चहचहाया।
Penetrate / Penetrated / Penetrated,Day 358,Intermediate,ஊடுருவு / ஊடுருவினேன் / ஊடுருவியுள்ளேன்,घुसना / घुसा / घुस चुका,1. Penetrate the wall. // 2. It penetrated. // 3. It has penetrated.,1. ஊடுருவு. // 2. அது ஊடுருவியது. // 3. அது ஊடுருவி உள்ளது.,1. घुसना/भेदना। // 2. यह अन्दर तक गया। // 3. यह प्रवेश कर चुका है।
Perish / Perished / Perished,Day 359,Intermediate,அழி / அழிந்தேன் / அழிந்துள்ளேன்,नष्ट होना / नष्ट हुआ / नष्ट हो चुका,1. Perish in cold. // 2. They perished. // 3. Food has perished.,1. அழிந்து போ (சா). // 2. அவர்கள் இறந்தனர். // 3. உணவு கெட்டுவிட்டது.,1. नष्ट होना/मरना। // 2. वे मर गए। // 3. भोजन सड़ चुका है।
Permeate / Permeated / Permeated,Day 360,Intermediate,பரவு / பரவியது / பரவியுள்ளது,व्याप्त होना / व्याप्त हुआ / व्याप्त हो चुका,1. Smells permeate. // 2. It permeated. // 3. It has permeated.,1. பரவு (ஊடுருவு). // 2. அது பரவியது. // 3. அது பரவி உள்ளது.,1. व्याप्त होना। // 2. यह फैल गया। // 3. यह व्याप्त हो चुका है।
Perplex / Perplexed / Perplexed,Day 361,Intermediate,குழப்பு / குழப்பினேன் / குழப்பியுள்ளேன்,हक्का-बक्का करना / किया / कर चुका,1. Don't perplex me. // 2. It perplexed him. // 3. I am perplexed.,1. குழப்பமடையச் செய். // 2. அது அவரைக் குழப்பியது. // 3. நான் குழப்பமடைந்தேன்.,1. हैरान करना। // 2. इसने उसे उलझा दिया। // 3. मैं उलझन में हूँ।
